trigger,direction,signal_def
F1,LONG,ADX_Rising:==0 ->8-> D2D_DirStep:==-1
F0,LONG,AT_Lookback_LT:hi + Micro_MomoTransfer:lo + Micro_RangeVelocity:lo
F0,LONG,AT_Lookback_LT:hi + VAH_Dist_ATR:hi + WeeklyOpen_Dist_ATR:lo
F0,LONG,AT_Lookback_ST:hi + AT_Slope_ST:lo + Micro_RollProxy:hi
F0,LONG,AT_Lookback_ST:hi + Slope_EMA_ST:hi + ADX_Value:lo
F0,LONG,AT_Lookback_ST:hi + Slope_EMA_ST:lo + Sqz_State:==1
F0,LONG,AT_Score_LT:hi + Micro_GarmanKlass:hi + Micro_Rejection:hi
F0,LONG,AT_Score_LT:hi + PrevDay_High_Dist_ATR:lo + MultiDay_Slope:lo
F0,LONG,AT_Score_LT:hi + Volume_Avg_10:hi + Micro_CSSpread:hi
F0,LONG,AT_Score_LT:lo + Micro_MicroGap:lo + OR_High_Side:==-1
F0,LONG,AT_Score_LT:lo + Micro_VolOfVol:lo + Round_500_Dist_ATR:lo
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + Body_Size:hi
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + Micro_RangeAccel:hi
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + VWAP_Sigma:hi
F0,LONG,AT_Slope_LT:lo + AT_Slope_ST:lo + Micro_Hurst:hi
F0,LONG,AT_Slope_LT:lo + AT_Slope_ST:lo + Micro_RollProxy:hi
F0,LONG,AT_Slope_LT:lo + Micro_FailedBreak:hi + Micro_RangeAccel:lo
F0,LONG,AT_Slope_LT:lo + Slope_EMA_ST:lo + Micro_FailedBreak:hi
F0,LONG,AT_Slope_LT:lo + Slope_EMA_ST:lo + Micro_Hurst:hi
F0,LONG,AT_Slope_ST:lo + Bars_Since_Flip:hi + Lower_Wick:hi
F0,LONG,AT_Slope_ST:lo + Bars_Since_Flip:hi + Upper_Wick:hi
F0,LONG,AT_Slope_ST:lo + Micro_Amihud:hi + Lower_Wick:hi
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + D2D_DirStep:==1
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + Micro_LogReturn:hi
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + Micro_RangeVelocity:hi
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + Micro_WickImbalance:lo
F0,LONG,AT_Slope_ST:lo + Micro_BarOverlap:lo + VWAP_Sigma:hi
F0,LONG,AT_Slope_ST:lo + Micro_FailedBreak:hi + VWAP_Side:==-1
F0,LONG,AT_Slope_ST:lo + Micro_FractalDim:lo + Micro_Hurst:hi
F0,LONG,AT_Slope_ST:lo + Micro_HLAsymmetry:hi + Micro_Hurst:hi
F0,LONG,AT_Slope_ST:lo + Micro_Hurst:hi + Round_1000_Dist_ATR:lo
F0,LONG,AT_Slope_ST:lo + Micro_OrderFlowDelta:hi + Micro_WickImbalance:lo
F0,LONG,AT_Slope_ST:lo + Micro_RangeAccel:hi + RangeOsc_State:==2
F0,LONG,AT_Slope_ST:lo + Micro_RangeAccel:lo + AT_Regime_LT:==1
F0,LONG,AT_Slope_ST:lo + Micro_RollProxy:hi + RangeOsc_State:==-1
F0,LONG,AT_Slope_ST:lo + Micro_VPIN:lo + OBVf_Signal:==1
F0,LONG,AT_Slope_ST:lo + Micro_VolOfVol:hi + OBVf_Signal:==1
F0,LONG,AT_Slope_ST:lo + Micro_VolOfVol:hi + OR_Position:lo
F0,LONG,AT_Slope_ST:lo + Micro_VolOfVol:hi + Volume:hi
F0,LONG,AT_Slope_ST:lo + Momentum_Value:hi + AT_Regime_ST:==1
F0,LONG,AT_Slope_ST:lo + Momentum_Value:hi + Body_Size:hi
F0,LONG,AT_Slope_ST:lo + Momentum_Value:hi + D2D_Signal:==0
F0,LONG,AT_Slope_ST:lo + Momentum_Value:hi + Micro_RollProxy:hi
F0,LONG,AT_Slope_ST:lo + RangeOsc_Val:lo + Micro_HLAsymmetry:hi
F0,LONG,AT_Slope_ST:lo + RangeOsc_Val:lo + Micro_RollProxy:hi
F0,LONG,AT_Slope_ST:lo + Session_Low_Dist_ATR:lo + Volume:hi
F0,LONG,Bar_Range:hi + Micro_Lambda:lo + PrevDay_High_Dist_ATR:hi
F0,LONG,Bar_Range:hi + Micro_Lambda:lo + RangeOsc_State:==2
F0,LONG,Bar_Range:hi + Micro_MomoTransfer:hi + Micro_TickIntensity:hi
F0,LONG,Bar_Range:hi + OBV_Macd:lo + Micro_TickIntensity:hi
F0,LONG,Bar_Range:hi + Slope_EMA_ST:lo + Micro_AutoCorr:hi
F0,LONG,Bars_Since_Flip:hi + Micro_CSSpread:hi + Upper_Wick:hi
F0,LONG,Bars_Since_Flip:hi + Micro_PriceAccel:lo + OR_Low_Side:==-1
F0,LONG,Bars_Since_Flip:hi + MultiDay_Position:lo + VWAP_Sigma_ATR:lo
F0,LONG,Bars_Since_Flip:hi + PrevDay_Low_Dist_ATR:lo + OR_Low_Side:==-1
F0,LONG,Bars_Since_Flip:hi + Round_500_Dist_ATR:lo + VA_Position:hi
F0,LONG,Bars_Since_Flip:hi + Slope_Accel_LT:hi + Micro_VPIN:lo
F0,LONG,Bars_Since_Flip:hi + Volume_Avg_10:hi + MultiDay_Position:lo
F0,LONG,Bars_Since_Flip:hi + Volume_Avg_10:hi + Session_Low_Dist_ATR:lo
F0,LONG,D2D_ATR:hi + AT_Slope_ST:lo + Bars_Since_Flip:hi
F0,LONG,D2D_ATR:hi + Micro_Rejection:lo + PrevDay_High_Dist_ATR:hi
F0,LONG,D2D_ATR_MA:hi + AT_Slope_ST:lo + Micro_VolOfVol:hi
F0,LONG,D2D_ATR_MA:hi + Micro_VPIN:lo + ST_Flip_Event:==-1
F0,LONG,D2D_ATR_MA:hi + OR_Position:lo + PrevDay_High_Side:==1
F0,LONG,D2D_Dynamic_Sensitivity:lo + OBV_Macd:lo + Micro_MicroGap:lo
F0,LONG,D2D_Persist:hi + PrevDay_Low_Side:==-1 + OR_Low_Side:==1
F0,LONG,DailyOpen_Dist_ATR:lo + VWAP_Side:==1 + OR_Low_Side:==-1
F0,LONG,Dist_To_PoC_ATR:lo + Micro_VolOfVol:lo + Round_1000_Dist_ATR:lo
F0,LONG,EMA_Oscillator:hi + AT_Regime_ST:==1 + PrevDay_Low_Side:==-1
F0,LONG,EMA_Oscillator:lo + Micro_HLAsymmetry:lo + AT_Regime_ST:==1
F0,LONG,Efficiency_Ratio:hi + Micro_RangeVelocity:lo + RangeOsc_State:==2
F0,LONG,KAMA_Dist:hi + AT_Regime_ST:==1 + PrevDay_Low_Side:==-1
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + ADX_Rising:==0
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + Harmonic_OBVf_Concordance:==0
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + Lower_Wick:hi
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + OR_High_Side:==-1
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + PrevDay_High_Side:==-1
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + Volume:hi
F0,LONG,KAMA_Dist:lo + Upper_Wick:hi + RangeOsc_State:==-1
F0,LONG,KAMA_Dist:lo + VWAP_Dist_ATR:lo + DailyOpen_Dist_ATR:lo
F0,LONG,KAMA_Dist:lo + VWAP_Dist_ATR:lo + OR_High_Side:==-1
F0,LONG,Micro_Amihud:hi + AT_Regime_ST:==1 + OR_Low_Side:==-1
