tag,loss_events,worst_bar,worst_day,losing_weeks,weeks,days,loss_days,entry_bars,trades,WR,PF,BE_WR,MARGIN,net,lots_per_bar_mean,max_concurrent,breach_2500,k,convention,status,trial_no,rule_bars_LONG,rule_bars_LONG_in_297,rule_LONG_T,G_LONG,rule_bars_SHORT,rule_bars_SHORT_in_297,rule_SHORT_T,G_SHORT,window,j,fold
FULLAB_j1_ONE,180,-306.0,-565.4,10,26,126,98,985,985,81.73,1.19,78.98,2.74,4925.0,1.0,2,0,2,ONE,OK,2,791,239,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']","['D2D_ATR:hi', 'Volume:hi', 'ATR_1M:hi']",580.0,80.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']","['ATR_1M:hi', 'Volume:hi', 'D2D_ATR:hi']",FULL,1,
FULLAB_j1_RR,240,-306.0,-1189.6,9,26,126,103,1371,1371,82.49,1.3,78.34,4.16,9757.7,1.0,7,0,2,RR,OK,3,791,239,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']","['D2D_ATR:hi', 'Volume:hi', 'ATR_1M:hi']",580.0,80.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']","['ATR_1M:hi', 'Volume:hi', 'D2D_ATR:hi']",FULL,1,
FULLAB_j2_ONE,138,-306.0,-528.7,8,26,123,83,779,779,82.28,1.36,77.37,4.91,7115.1,1.0,2,0,2,ONE,OK,4,667,224,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']","['D2D_ATR:hi', 'Volume:hi', 'ATR_1M:hi']",452.0,67.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']","['ATR_1M:hi', 'Volume:hi', 'D2D_ATR:hi']",FULL,2,
FULLAB_j2_RR,190,-306.0,-1206.6,7,26,123,91,1119,1119,83.02,1.46,77.0,6.02,11808.1,1.0,7,0,2,RR,OK,5,667,224,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']","['D2D_ATR:hi', 'Volume:hi', 'ATR_1M:hi']",452.0,67.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']","['ATR_1M:hi', 'Volume:hi', 'D2D_ATR:hi']",FULL,2,
FULLAB_j3_ONE,105,-306.0,-516.3,8,26,118,71,589,589,82.17,1.49,75.62,6.55,7212.1,1.0,2,0,2,ONE,OK,6,528,194,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']","['D2D_ATR:hi', 'Volume:hi', 'ATR_1M:hi']",346.0,60.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']","['ATR_1M:hi', 'Volume:hi', 'D2D_ATR:hi']",FULL,3,
FULLAB_j3_RR,152,-306.0,-802.2,8,26,118,79,874,874,82.61,1.56,75.25,7.36,11227.8,1.0,7,0,2,RR,OK,7,528,194,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']","['D2D_ATR:hi', 'Volume:hi', 'ATR_1M:hi']",346.0,60.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']","['ATR_1M:hi', 'Volume:hi', 'D2D_ATR:hi']",FULL,3,
WFAB_2026.02_j1_ONE,5,-153.0,-63.6,0,4,13,4,61,61,91.8,3.85,74.4,17.4,1397.3,1.0,1,0,2,ONE,OK,8,166,37,"['VWAP_Side:==-1', 'Harmonic_D2D_Concordance:==0', 'Harmonic_OBVf_Concordance:==0', 'OR_High_Side:==-1', 'Sqz_State:==1', 'PrevDay_Close_Side:==-1']","['Volume:hi', 'ATR_1M:hi', 'Micro_Hurst:hi']",,,,,2026.02,1,Feb
WFAB_2026.02_j1_RR,19,-153.0,-43.5,0,4,13,10,166,166,88.55,2.41,76.24,12.31,2481.8,1.0,8,0,2,RR,OK,9,166,37,"['VWAP_Side:==-1', 'Harmonic_D2D_Concordance:==0', 'Harmonic_OBVf_Concordance:==0', 'OR_High_Side:==-1', 'Sqz_State:==1', 'PrevDay_Close_Side:==-1']","['Volume:hi', 'ATR_1M:hi', 'Micro_Hurst:hi']",,,,,2026.02,1,Feb
WFAB_2026.02_j2_ONE,5,-153.0,-0.5,0,4,12,4,48,48,89.58,3.53,70.9,18.69,1131.8,1.0,1,0,2,ONE,OK,10,127,35,"['VWAP_Side:==-1', 'Harmonic_D2D_Concordance:==0', 'Harmonic_OBVf_Concordance:==0', 'OR_High_Side:==-1', 'Sqz_State:==1', 'PrevDay_Close_Side:==-1']","['Volume:hi', 'ATR_1M:hi', 'Micro_Hurst:hi']",,,,,2026.02,2,Feb
WFAB_2026.02_j2_RR,17,-153.0,-124.4,0,4,12,8,127,127,86.61,2.3,73.76,12.86,1986.4,1.0,6,0,2,RR,OK,11,127,35,"['VWAP_Side:==-1', 'Harmonic_D2D_Concordance:==0', 'Harmonic_OBVf_Concordance:==0', 'OR_High_Side:==-1', 'Sqz_State:==1', 'PrevDay_Close_Side:==-1']","['Volume:hi', 'ATR_1M:hi', 'Micro_Hurst:hi']",,,,,2026.02,2,Feb
