direction,gate,n_win,n_lose,AUC,p_MW,median_win,median_lose
LONG,"Micro_Hurst (mech-D pct bucket, 13 levels)",253,696,0.583,7.654285875043196e-05,6.0,6.0
LONG,Micro_Hurst (raw),253,696,0.588,3.2869688687442645e-05,0.4409,0.4239
LONG,Micro_FailedBreak (mech-D pct bucket),253,696,0.455,0.03168621815279035,9.0,9.0
LONG,Micro_FailedBreak (raw),253,696,0.45,0.019498959414550918,0.4168,0.4943
LONG,ATR_1M,253,696,0.648,2.769197689110963e-12,37.0734,29.6721
LONG,ADX_Value,253,696,0.569,0.0010811959105995349,22.4172,20.9763
LONG,Volume,253,696,0.658,7.894942366326848e-14,337.0,268.5
LONG,Bars_Since_Flip,253,696,0.624,4.496799102494082e-09,13.0,6.0
LONG,D2D_Persist,253,696,0.486,0.5200938545404712,0.2011,0.3751
LONG,D2D_Dynamic_Sensitivity,253,696,0.532,0.09965437750752988,2.5,1.8
LONG,AT_Slope_ST (raw),253,696,0.382,2.811235635312936e-08,-0.0001,-0.0
LONG,Slope_EMA_ST (raw),253,696,0.375,3.5706304655744397e-09,-0.0001,-0.0
LONG,Micro_LogReturn,253,696,0.529,0.16418703092051712,0.0004,0.0004
LONG,Efficiency_Ratio,253,696,0.515,0.4825183200508979,0.4483,0.4054
LONG,Bar_Range,253,696,0.618,2.3209310846766045e-08,38.0,32.0
LONG,Body_Size,253,696,0.548,0.023889615090603132,22.5,20.5
LONG,turn_count (of the 6 T conditions),253,696,0.64,1.5776347782526477e-18,2.0,2.0
LONG,"book signal depth on A (BOOK-DEPENDENT, not a B candidate)",253,696,0.883,6.9219369118816134e-74,8.0,2.0
SHORT,"Micro_Hurst (mech-D pct bucket, 13 levels)",84,635,0.611,0.0008952967855534319,7.0,6.0
SHORT,Micro_Hurst (raw),84,635,0.606,0.001647584563371051,0.4464,0.4233
SHORT,Micro_FailedBreak (mech-D pct bucket),84,635,0.552,0.11145366215065754,2.0,1.0
SHORT,Micro_FailedBreak (raw),84,635,0.547,0.1573579606904395,-0.645,-0.6787
SHORT,ATR_1M,84,635,0.732,4.7008445457692355e-12,58.8511,33.2552
SHORT,ADX_Value,84,635,0.545,0.17856377974608129,23.6467,22.7602
SHORT,Volume,84,635,0.701,2.0970264264006056e-09,354.0,250.0
SHORT,Bars_Since_Flip,84,635,0.518,0.5865227914869814,7.5,6.0
SHORT,D2D_Persist,84,635,0.451,0.1437363936868708,-0.6233,-0.5303
SHORT,D2D_Dynamic_Sensitivity,84,635,0.389,0.00032252489244121807,1.5,1.5
SHORT,AT_Slope_ST (raw),84,635,0.422,0.020305360921781212,-0.0001,-0.0
SHORT,Slope_EMA_ST (raw),84,635,0.442,0.08598661770103685,-0.0,-0.0
SHORT,Micro_LogReturn,84,635,0.413,0.009168697555992955,-0.0008,-0.0005
SHORT,Efficiency_Ratio,84,635,0.577,0.02135724053668154,0.5738,0.4937
SHORT,Bar_Range,84,635,0.68,8.450918709734405e-08,54.0,36.0
SHORT,Body_Size,84,635,0.626,0.00017738845797670235,35.25,26.0
SHORT,turn_count (of the 6 T conditions),84,635,0.491,0.7251390967130119,2.0,2.0
SHORT,"book signal depth on A (BOOK-DEPENDENT, not a B candidate)",84,635,0.984,4.451952430970787e-50,5.0,1.0
