direction,lag,condition,win_true,win_rate,lose_true,lose_rate,lift,p,BY_reject
LONG,0,ADX_Rising:==0,118,0.466403162055336,324,0.46551724137931033,1.0019030888596108,1.0,
LONG,0,ADX_Rising:==1,135,0.5335968379446641,372,0.5344827586206896,0.9983424709932425,1.0,
LONG,0,ADX_Value:hi,26,0.10276679841897234,31,0.04454022988505747,2.3072803774066046,0.001707258602158682,
LONG,0,ADX_Value:lo,66,0.2608695652173913,226,0.32471264367816094,0.8033859176606386,0.06725538694178096,
LONG,0,ATR_1M:hi,233,0.9209486166007905,515,0.7399425287356322,1.2446218197167966,1.621079069844173e-10,
LONG,0,ATR_1M:lo,0,0.0,0,0.0,inf,1.0,
LONG,0,AT_Lookback_LT:hi,28,0.11067193675889328,124,0.1781609195402299,0.6211908708402397,0.012222329513912038,
LONG,0,AT_Lookback_LT:lo,0,0.0,0,0.0,inf,1.0,
LONG,0,AT_Lookback_ST:hi,112,0.4426877470355731,179,0.257183908045977,1.7212886700377592,8.152403769949792e-08,
LONG,0,AT_Lookback_ST:lo,0,0.0,0,0.0,inf,1.0,
LONG,0,AT_Regime_LT:==0,74,0.2924901185770751,341,0.4899425287356322,0.5969886291191914,5.590851862076533e-08,
LONG,0,AT_Regime_LT:==1,179,0.7075098814229249,355,0.5100574712643678,1.3871179647052274,5.590851862076533e-08,
LONG,0,AT_Regime_ST:==0,62,0.2450592885375494,320,0.45977011494252873,0.53300395256917,1.6330248532394737e-09,
LONG,0,AT_Regime_ST:==1,191,0.7549407114624506,376,0.5402298850574713,1.397443444621983,1.6330248532394737e-09,
LONG,0,AT_Score_LT:hi,9,0.03557312252964427,31,0.04454022988505747,0.798673976794594,0.7148184756411577,
LONG,0,AT_Score_LT:lo,63,0.2490118577075099,99,0.14224137931034483,1.7506288178224936,0.00019258626152445513,
LONG,0,AT_Score_ST:hi,5,0.019762845849802372,15,0.021551724137931036,0.91699604743083,1.0,
LONG,0,AT_Score_ST:lo,66,0.2608695652173913,87,0.125,2.0869565217391304,1.3120057734334509e-06,
LONG,0,AT_Slope_LT:hi,38,0.15019762845849802,171,0.24568965517241378,0.61133069828722,0.0014242495330562281,
LONG,0,AT_Slope_LT:lo,141,0.5573122529644269,219,0.3146551724137931,1.7711841464074938,1.8864304147907086e-11,
LONG,0,AT_Slope_ST:hi,31,0.1225296442687747,150,0.21551724137931033,0.5685375494071147,0.0010471569304087798,
LONG,0,AT_Slope_ST:lo,159,0.6284584980237155,271,0.38936781609195403,1.6140483934483614,6.666425117158409e-11,
LONG,0,Bar_Range:hi,218,0.8616600790513834,498,0.7155172413793104,1.2042478213248249,2.3027141633958132e-06,
LONG,0,Bar_Range:lo,0,0.0,0,0.0,inf,1.0,
LONG,0,Bars_Since_Flip:hi,94,0.3715415019762846,154,0.22126436781609196,1.679174580360351,5.7641844281329804e-06,
LONG,0,Bars_Since_Flip:lo,54,0.2134387351778656,251,0.36063218390804597,0.5918460545171094,1.4287453536636212e-05,
LONG,0,Body_Size:hi,173,0.6837944664031621,465,0.6681034482758621,1.0234859110034427,0.6959306814753241,
LONG,0,Body_Size:lo,6,0.023715415019762844,25,0.035919540229885055,0.6602371541501976,0.41448036831073387,
LONG,0,D2D_ATR:hi,222,0.8774703557312253,423,0.6077586206896551,1.4437810108485412,9.916403487233389e-17,
LONG,0,D2D_ATR:lo,0,0.0,3,0.004310344827586207,0.0,0.5690654733557869,
LONG,0,D2D_ATR_MA:hi,196,0.7747035573122529,375,0.5387931034482759,1.4378498023715414,2.7686420007731287e-11,
LONG,0,D2D_ATR_MA:lo,0,0.0,38,0.05459770114942529,0.0,7.328034189475798e-06,
LONG,0,D2D_DirStep:==-1,67,0.2648221343873518,145,0.20833333333333334,1.2711462450592885,0.07769244804954271,
LONG,0,D2D_DirStep:==1,186,0.7351778656126482,551,0.7916666666666666,0.9286457249843978,0.07769244804954271,
LONG,0,D2D_Dn_Count:hi,0,0.0,0,0.0,inf,1.0,
LONG,0,D2D_Dn_Count:lo,0,0.0,0,0.0,inf,1.0,
LONG,0,D2D_Dynamic_Sensitivity:hi,0,0.0,0,0.0,inf,1.0,
LONG,0,D2D_Dynamic_Sensitivity:lo,39,0.1541501976284585,154,0.22126436781609196,0.6966788152558904,0.02279561610170907,
LONG,0,D2D_Persist:hi,28,0.11067193675889328,70,0.10057471264367816,1.100395256916996,0.6314834493182216,
LONG,0,D2D_Persist:lo,19,0.07509881422924901,50,0.07183908045977011,1.0453754940711462,0.8877611723118313,
LONG,0,D2D_Signal:==-1,0,0.0,0,0.0,inf,1.0,
LONG,0,D2D_Signal:==0,135,0.5335968379446641,289,0.41522988505747127,1.2850636650847274,0.0014727807879769408,
LONG,0,D2D_Signal:==1,118,0.466403162055336,407,0.5847701149425287,0.7975837857260782,0.0014727807879769408,
LONG,0,D2D_Up_Count:hi,120,0.4743083003952569,407,0.5847701149425287,0.8111021549756727,0.003086909204371318,
LONG,0,D2D_Up_Count:lo,0,0.0,0,0.0,inf,1.0,
LONG,0,DailyOpen_Dist_ATR:hi,24,0.09486166007905138,62,0.08908045977011494,1.0648986357261252,0.7985388602693595,
