tag,loss_events,worst_bar,worst_day,losing_weeks,weeks,days,loss_days,entry_bars,trades,WR,PF,MARGIN,net,lots_per_bar_mean,breach_2500,trial_no,d_loss_events,d_losing_weeks,d_days,d_entry_bars,d_trades,d_net,d_PF
CONTROL_297,42,-1224.0,-346.6,0,26,119,35,973,5776,96.12,14.53,33.07,284974.0,5.94,0,1,0,0,0,0,0,0.0,0.0
297+[LONG] Bar_Range:hi + KAMA_Slope:lo + PrevDay_High_Side:==-1,42,-1224.0,-346.6,0,26,119,35,977,5808,96.11,14.42,32.96,285524.1,5.94,0,2,0,0,0,4,32,550.0999999999767,-0.11
297+[LONG] D2D_ATR:hi + KAMA_Slope:lo + PrevDay_High_Side:==-1,42,-1224.0,-346.6,0,26,119,35,978,5816,96.11,14.42,32.94,285630.6,5.95,0,3,0,0,0,5,40,656.5999999999767,-0.11
297+[LONG] ATR_1M:hi + KAMA_Slope:lo + PrevDay_Close_Side:==-1,42,-1224.0,-346.6,0,26,119,35,976,5804,96.12,14.47,32.97,285398.2,5.95,0,4,0,0,0,3,28,424.20000000001164,-0.06
297+[LONG] EMA_Oscillator:hi + PrevDay_Low_Side:==-1 + OR_Low_Side:==1,44,-1224.0,-346.6,0,26,119,36,999,5904,96.02,13.97,32.69,290874.6,5.91,0,5,2,0,0,26,128,5900.599999999977,-0.56
297+[LONG] Volume:hi + PrevDay_Low_Side:==-1 + OR_Low_Side:==1,42,-1224.0,-1020.4,0,26,119,34,991,5886,96.11,14.22,32.65,291125.9,5.94,0,6,0,0,0,18,110,6151.900000000023,-0.31
297+[LONG] PrevDay_High_Dist_ATR:lo + WeeklyOpen_Dist_ATR:lo + PrevDay_Low_Side:==-1,45,-1224.0,-346.6,0,26,120,35,988,5896,95.91,13.39,32.25,287841.8,5.97,0,7,3,0,1,15,120,2867.7999999999884,-1.14
297+[SHORT] OBVf_Signal:==-1 + VAH_Side:==0 + PrevDay_Low_Side:==1,42,-1224.0,-346.6,0,26,119,35,986,5842,96.17,14.6,32.96,286542.6,5.92,0,8,0,0,0,13,66,1568.5999999999767,0.07
297+[SHORT] Slope_EMA_ST:lo + VAH_Side:==0 + PrevDay_Low_Side:==1,42,-1224.0,-346.6,0,26,119,35,987,5845,96.17,14.61,32.96,286658.6,5.92,0,9,0,0,0,14,69,1684.5999999999767,0.08
297+[SHORT] WeeklyOpen_Dist_ATR:hi + TChan_A15:hi + PrevDay_High_Side:==1,48,-1224.0,-346.6,0,26,120,39,991,5866,95.82,13.66,33.14,285094.3,5.92,0,10,6,0,1,18,90,120.29999999998836,-0.87
297+ALL missing (3),45,-1224.0,-410.0,0,26,119,37,984,5880,95.85,13.63,32.96,286019.2,5.98,0,11,3,0,0,11,104,1045.2000000000116,-0.9
297+ALL location (6),54,-1224.0,-1020.4,0,26,120,41,1078,6373,95.7,12.42,31.51,303458.8,5.91,0,12,12,0,1,105,597,18484.79999999999,-2.11
297+ALL selected (9),57,-1224.0,-881.5,0,26,120,43,1089,6475,95.46,11.74,31.29,304173.9,5.95,0,13,15,0,1,116,699,19199.900000000023,-2.79
