direction,bar,time,depth_with,depth_without,orphans_firing,control_lots,control_bar_pnl,exit_day
LONG,100142,2026.05.01 16:56,3,2,[181],3,241.8,2026.05.01
SHORT,10936,2026.01.29 19:55,3,2,[231],3,37.8,2026.01.29
SHORT,10955,2026.01.29 20:14,3,2,[296],3,42.6,2026.01.29
SHORT,39346,2026.02.27 19:36,3,2,[208],3,37.5,2026.02.27
SHORT,65177,2026.03.26 17:53,3,2,[230],3,91.2,2026.03.26
SHORT,74276,2026.04.06 17:53,3,2,[230],3,32.1,2026.04.06
SHORT,79655,2026.04.10 16:32,4,2,"[226, 230]",3,105.3,2026.04.10
SHORT,88008,2026.04.20 19:19,3,2,[230],3,30.3,2026.04.20
SHORT,89305,2026.04.21 18:12,4,2,"[208, 270]",4,44.4,2026.04.21
SHORT,89489,2026.04.21 21:16,3,2,[230],3,114.9,2026.04.21
SHORT,100126,2026.05.01 16:40,3,2,[230],3,62.4,2026.05.01
SHORT,138474,2026.06.10 22:55,3,2,[226],3,384.3,2026.06.11
SHORT,153020,2026.06.25 18:56,3,2,[230],3,51.6,2026.06.25
SHORT,171860,2026.07.15 18:18,3,2,[230],3,51.6,2026.07.15
SHORT,176191,2026.07.20 22:15,3,2,[256],3,-158.4,2026.07.20
