direction,condition,variable,bars_present,share_traded_bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,sum_pnl_where_present,mean_multiplicity,book_slots_dir,book_slot_share_dir
LONG,AT_Regime_ST:==1,AT_Regime_ST,226,0.376,212,14,12.45,524.13,118453.5,2.38,13,0.0227
LONG,Volume:hi,Volume,197,0.3278,189,8,10.8,516.96,101841.9,1.32,10,0.0175
LONG,OBV_Macd:lo,OBV_Macd,185,0.3078,175,10,11.29,592.78,109664.3,1.77,14,0.0244
LONG,AT_Slope_ST:lo,AT_Slope_ST,184,0.3062,173,11,13.5,500.38,92070.8,6.78,32,0.0558
LONG,OR_Low_Side:==-1,OR_Low_Side,171,0.2845,165,6,11.96,457.24,78187.9,2.21,14,0.0244
LONG,PrevDay_Low_Side:==-1,PrevDay_Low_Side,169,0.2812,156,13,9.22,484.71,81915.8,2.09,10,0.0175
LONG,Slope_EMA_ST:lo,Slope_EMA_ST,167,0.2779,155,12,14.28,524.82,87645.6,3.72,19,0.0332
LONG,Micro_Rejection:lo,Micro_Rejection,156,0.2596,148,8,8.1,348.71,54398.5,2.42,16,0.0279
LONG,Upper_Wick:hi,Upper_Wick,140,0.2329,136,4,11.52,772.22,108111.2,1.24,6,0.0105
LONG,Bars_Since_Flip:hi,Bars_Since_Flip,144,0.2396,134,10,13.5,432.07,62217.5,2.53,11,0.0192
LONG,Volume_Avg_10:hi,Volume_Avg_10,126,0.2097,124,2,10.35,445.33,56111.2,1.48,9,0.0157
LONG,Momentum_Value:hi,Momentum_Value,130,0.2163,123,7,15.52,686.82,89286.8,2.62,8,0.014
LONG,Slope_Accel_LT:hi,Slope_Accel_LT,121,0.2013,115,6,8.4,199.98,24197.6,2.13,9,0.0157
LONG,OR_High_Side:==-1,OR_High_Side,117,0.1947,112,5,10.34,497.89,58253.3,1.21,7,0.0122
LONG,AT_Regime_LT:==1,AT_Regime_LT,122,0.203,112,10,10.63,472.02,57586.7,1.25,5,0.0087
LONG,Micro_HLAsymmetry:hi,Micro_HLAsymmetry,115,0.1913,111,4,14.37,693.81,79788.3,1.4,5,0.0087
LONG,Session_Low_Dist_ATR:lo,Session_Low_Dist_ATR,115,0.1913,110,5,10.31,741.61,85285.1,1.9,9,0.0157
LONG,Micro_FailedBreak:hi,Micro_FailedBreak,114,0.1897,110,4,13.39,588.21,67056.3,1.68,6,0.0105
LONG,AT_Slope_LT:lo,AT_Slope_LT,116,0.193,110,6,16.19,662.94,76901.6,1.77,5,0.0087
LONG,Micro_VolOfVol:hi,Micro_VolOfVol,112,0.1864,109,3,13.58,526.01,58913.5,2.82,10,0.0175
LONG,Micro_RollProxy:hi,Micro_RollProxy,114,0.1897,107,7,14.32,758.56,86476.4,2.72,9,0.0157
LONG,Bar_Range:hi,Bar_Range,109,0.1814,104,5,11.98,672.19,73268.5,1.16,5,0.0087
LONG,Micro_Hurst:hi,Micro_Hurst,104,0.173,99,5,11.55,697.95,72586.9,2.92,10,0.0175
LONG,Micro_WickImbalance:lo,Micro_WickImbalance,98,0.1631,96,2,12.53,864.92,84762.1,1.35,6,0.0105
LONG,Micro_AutoCorr:hi,Micro_AutoCorr,96,0.1597,94,2,12.41,855.19,82098.4,2.49,7,0.0122
LONG,Micro_RangeAccel:lo,Micro_RangeAccel,99,0.1647,93,6,11.33,497.55,49257.6,1.38,5,0.0087
LONG,Micro_LogReturn:hi,Micro_LogReturn,95,0.1581,92,3,12.56,748.0,71060.2,1.34,7,0.0122
