tag,loss_events,worst_bar,worst_day,losing_weeks,weeks,days,loss_days,entry_bars,trades,WR,PF,BE_WR,MARGIN,net,lots_per_bar_mean,lots_per_bar_max,max_concurrent,folds_plus,min_fold_pf,PL_worst_bar,PL_worst_day,PL_losing_weeks,PL_PF,PL_net,floor_L,floor_S,tier_on,convention,elig_bars_L,elig_bars_S,gap_fillers_excluded,secs
L63_S53_ONE,83.0,-306.0,-634.4,12.0,26.0,103.0,61.0,420.0,420,80.24,0.9,81.88,-1.64,-1208.1,1.0,1.0,1.0,3.0,0.51,-153.0,-468.4,14.0,0.93,-748.5,63,53,True,ONE,563,345,497,2.3
L63_S53_RR,158.0,-306.0,-1012.7,13.0,26.0,103.0,70.0,879.0,879,82.03,0.98,82.34,-0.32,-486.7,1.0,1.0,9.0,2.0,0.51,-153.0,-864.0,13.0,1.02,414.1,63,53,True,RR,563,345,479,3.2
L40_only_ONE,375.0,-306.0,-869.5,13.0,26.0,125.0,115.0,1991.0,1991,81.17,1.11,79.47,1.69,4860.4,1.0,1.0,1.0,3.0,0.9,-153.0,-728.9,15.0,1.07,2750.9,40,999,True,ONE,7954,0,425,6.2
L40_only_RR,1374.0,-306.0,-1831.8,14.0,26.0,126.0,125.0,6836.0,6836,79.9,1.01,79.66,0.24,2257.9,1.0,1.0,14.0,4.0,0.82,-153.0,-1841.4,16.0,1.01,1588.8,40,999,True,RR,7954,0,387,16.0
L45_only_ONE,296.0,-306.0,-616.9,16.0,26.0,125.0,111.0,1553.0,1553,80.94,1.05,80.21,0.73,1668.5,1.0,1.0,1.0,4.0,0.83,-153.0,-530.4,17.0,1.02,498.4,45,999,True,ONE,5738,0,454,5.2
L45_only_RR,1026.0,-306.0,-1773.1,16.0,26.0,126.0,125.0,5041.0,5041,79.65,0.97,80.19,-0.55,-3922.1,1.0,1.0,13.0,2.0,0.76,-153.0,-1601.6,15.0,0.97,-3095.1,45,999,True,RR,5738,0,421,11.9
L50_only_ONE,206.0,-306.0,-432.2,15.0,26.0,122.0,100.0,1105.0,1105,81.36,1.02,81.03,0.32,552.7,1.0,1.0,1.0,3.0,0.8,-153.0,-405.0,14.0,1.03,692.2,50,999,True,ONE,3715,0,485,4.0
L50_only_RR,705.0,-306.0,-2135.5,17.0,26.0,122.0,111.0,3315.0,3315,78.73,0.89,80.58,-1.84,-8911.9,1.0,1.0,13.0,1.0,0.71,-153.0,-2038.4,17.0,0.9,-7133.4,50,999,True,RR,3715,0,465,8.1
L55_only_ONE,140.0,-306.0,-472.7,13.0,26.0,104.0,81.0,704.0,704,80.11,0.96,80.68,-0.56,-610.2,1.0,1.0,1.0,3.0,0.75,-153.0,-472.7,14.0,0.96,-583.4,55,999,True,ONE,2078,0,502,2.7
L55_only_RR,422.0,-306.0,-1433.9,16.0,26.0,104.0,88.0,1909.0,1909,77.89,0.82,81.15,-3.26,-9440.1,1.0,1.0,11.0,2.0,0.48,-153.0,-1187.0,17.0,0.83,-7939.0,55,999,True,RR,2078,0,491,4.9
L60_only_ONE,78.0,-306.0,-489.9,14.0,26.0,79.0,51.0,363.0,363,78.51,0.86,80.89,-2.37,-1387.9,1.0,1.0,1.0,3.0,0.43,-153.0,-277.8,15.0,0.85,-1369.0,60,999,True,ONE,975,0,520,2.1
L60_only_RR,193.0,-306.0,-1524.7,19.0,26.0,79.0,61.0,914.0,914,78.88,0.83,81.91,-3.02,-4331.5,1.0,1.0,10.0,2.0,0.53,-153.0,-1376.0,17.0,0.84,-3490.7,60,999,True,RR,975,0,511,2.9
L61_only_ONE,60.0,-306.0,-489.9,15.0,26.0,71.0,45.0,317.0,317,81.07,1.02,80.7,0.38,196.1,1.0,1.0,1.0,3.0,0.59,-153.0,-224.0,15.0,1.02,152.1,61,999,True,ONE,816,0,526,1.8
L61_only_RR,153.0,-306.0,-1254.9,18.0,26.0,71.0,57.0,770.0,770,80.13,0.88,82.08,-1.95,-2447.0,1.0,1.0,10.0,3.0,0.57,-153.0,-746.9,18.0,0.91,-1591.6,61,999,True,RR,816,0,517,2.6
L62_only_ONE,47.0,-306.0,-362.4,14.0,25.0,59.0,32.0,263.0,263,82.13,1.09,80.78,1.35,602.6,1.0,1.0,1.0,3.0,0.59,-153.0,-209.4,14.0,1.11,659.3,62,999,True,ONE,672,0,528,1.8
L62_only_RR,115.0,-306.0,-1151.4,14.0,25.0,59.0,44.0,633.0,633,81.83,0.98,82.14,-0.31,-329.1,1.0,1.0,10.0,3.0,0.57,-153.0,-1002.7,13.0,1.02,220.8,62,999,True,RR,672,0,522,2.4
L63_only_ONE,44.0,-306.0,-634.4,12.0,22.0,51.0,32.0,220.0,220,80.0,0.88,81.94,-1.94,-764.2,1.0,1.0,1.0,4.0,0.57,-153.0,-468.4,11.0,0.93,-415.6,63,999,True,ONE,563,0,529,1.7
L63_only_RR,92.0,-306.0,-1012.7,12.0,22.0,51.0,39.0,534.0,534,82.77,0.94,83.64,-0.86,-795.9,1.0,1.0,9.0,4.0,0.5,-153.0,-864.0,12.0,1.0,-6.1,63,999,True,RR,563,0,526,2.2
L64_only_ONE,36.0,-306.0,-497.1,12.0,21.0,48.0,27.0,192.0,192,81.25,0.88,83.14,-1.89,-677.0,1.0,1.0,1.0,3.0,0.5,-153.0,-311.9,11.0,0.97,-135.3,64,999,True,ONE,467,0,532,1.6
L64_only_RR,74.0,-306.0,-777.7,12.0,21.0,48.0,34.0,445.0,445,83.37,0.93,84.28,-0.91,-704.5,1.0,1.0,8.0,2.0,0.49,-153.0,-609.8,11.0,1.01,77.4,64,999,True,RR,467,0,530,2.1
L65_only_ONE,27.0,-306.0,-713.2,10.0,19.0,39.0,20.0,158.0,158,82.91,0.92,84.03,-1.12,-334.6,1.0,1.0,1.0,3.0,0.37,-153.0,-485.9,10.0,1.02,56.7,65,999,True,ONE,370,0,533,1.5
L65_only_RR,53.0,-306.0,-1092.1,12.0,19.0,39.0,28.0,355.0,355,85.07,1.01,84.91,0.16,101.1,1.0,1.0,8.0,2.0,0.35,-153.0,-864.8,11.0,1.06,406.2,65,999,True,RR,370,0,531,1.9
L66_only_ONE,24.0,-306.0,-856.5,9.0,19.0,32.0,18.0,123.0,123,80.49,0.78,84.06,-3.57,-867.0,1.0,1.0,1.0,3.0,0.27,-153.0,-629.2,11.0,0.87,-408.7,66,999,True,ONE,295,0,537,1.5
L66_only_RR,46.0,-306.0,-1118.7,11.0,19.0,32.0,25.0,285.0,285,83.86,0.93,84.82,-0.96,-470.6,1.0,1.0,8.0,3.0,0.31,-153.0,-891.4,10.0,0.99,-76.7,66,999,True,RR,295,0,536,1.8
L70_only_ONE,1.0,-153.0,-140.3,1.0,15.0,20.0,1.0,61.0,61,98.36,9.26,86.63,11.73,1264.3,1.0,1.0,1.0,5.0,,-153.0,-140.3,1.0,8.05,1079.2,70,999,True,ONE,114,0,541,1.4
L70_only_RR,6.0,-156.5,-140.3,2.0,15.0,20.0,4.0,113.0,113,94.69,2.79,86.48,8.21,1454.5,1.0,1.0,7.0,5.0,0.59,-153.0,-140.3,2.0,2.8,1323.0,70,999,True,RR,114,0,541,1.6
L75_only_ONE,1.0,-103.6,-51.2,1.0,5.0,5.0,1.0,12.0,12,91.67,2.0,84.59,7.08,104.0,1.0,1.0,1.0,1.0,,-103.6,-51.2,1.0,1.83,85.9,75,999,True,ONE,16,0,543,1.3
L75_only_RR,2.0,-109.8,-131.6,1.0,5.0,5.0,1.0,16.0,16,87.5,1.16,85.82,1.68,33.4,1.0,1.0,3.0,1.0,,-109.8,-131.6,1.0,1.07,15.3,75,999,True,RR,16,0,543,1.4
L80_only_ONE,0.0,9.8,15.0,0.0,2.0,2.0,0.0,3.0,3,100.0,,0.0,100.0,38.1,1.0,1.0,1.0,1.0,0.0,9.8,15.0,0.0,inf,38.1,80,999,True,ONE,3,0,544,1.4
L80_only_RR,0.0,9.8,15.0,0.0,2.0,2.0,0.0,3.0,3,100.0,,0.0,100.0,38.1,1.0,1.0,1.0,1.0,0.0,9.8,15.0,0.0,inf,38.1,80,999,True,RR,3,0,544,1.4
L85_only_ONE,,,,,,,,,0,,,,,,,,,,,,,,,,85,999,True,ONE,0,0,544,0.6
L85_only_RR,,,,,,,,,0,,,,,,,,,,,,,,,,85,999,True,RR,0,0,544,0.6
S40_only_ONE,274.0,-306.0,-531.6,14.0,26.0,121.0,107.0,1381.0,1381,80.16,0.99,80.38,-0.22,-404.7,1.0,1.0,1.0,4.0,0.74,-153.0,-448.1,13.0,0.97,-822.3,999,40,True,ONE,0,4695,363,5.1
S40_only_RR,893.0,-306.0,-1322.4,13.0,26.0,121.0,115.0,4675.0,4675,80.9,1.01,80.76,0.14,838.8,1.0,1.0,17.0,3.0,0.79,-153.0,-1169.4,13.0,1.0,421.2,999,40,True,RR,0,4695,294,11.2
S45_only_ONE,160.0,-306.0,-408.9,16.0,26.0,110.0,85.0,822.0,822,80.54,0.9,82.14,-1.6,-1957.3,1.0,1.0,1.0,3.0,0.66,-153.0,-408.9,16.0,0.92,-1582.3,999,45,True,ONE,0,2442,420,3.9
S45_only_RR,478.0,-306.0,-842.9,15.0,26.0,112.0,102.0,2440.0,2440,80.41,0.95,81.13,-0.72,-2456.9,1.0,1.0,14.0,1.0,0.65,-153.0,-842.9,15.0,0.96,-2081.9,999,45,True,RR,0,2442,363,7.1
