direction,condition,location,turn,in_book_side,n_297A,rate_297A,n_Ai297,rate_Ai297,rate_untraded_hm,lift_297A,lift_Ai297,lift_973,p_297A_vs_untraded,p_297A_vs_Ai297,BY_297A_vs_untraded,BY_297A_vs_Ai297
LONG,ADX_Rising:==0,False,False,True,151,0.4339080459770115,118,0.466403162055336,0.4809899697766878,0.902114541345768,0.962114642475195,0.9274870097942121,0.17432741335151808,0.45500874513787093,False,False
LONG,ADX_Rising:==1,False,False,True,197,0.5660919540229885,135,0.5335968379446641,0.5190100302232905,1.0907148630238268,1.035645433368304,1.0676305912753181,0.17432741335151808,0.45500874513787093,False,False
LONG,ADX_Value:hi,False,False,True,83,0.23850574712643677,26,0.10276679841897234,0.23359185135924418,1.0210362465068845,0.44398727681846384,0.7794053871981043,0.8497268914530125,1.5685103645762725e-05,False,True
LONG,ADX_Value:lo,False,False,True,60,0.1724137931034483,66,0.2608695652173913,0.1837108132202959,0.9385065042235655,1.4016881754768042,1.1349567947344197,0.8868858228626182,0.010994499430090666,False,False
LONG,ATR_1M:hi,False,False,False,305,0.8764367816091954,233,0.9209486166007905,0.6854562908296835,1.278618043680578,1.3360953965264168,1.3028920448386048,1.7545175830827076e-21,0.08138464066706445,True,False
LONG,ATR_1M:lo,False,False,False,0,0.0,0,0.0,0.0,inf,inf,inf,1.0,1.0,False,False
LONG,AT_Lookback_LT:hi,False,False,True,59,0.16954022988505746,28,0.11067193675889328,0.19593221424104632,0.8653004333247619,0.5734187734569716,0.743498597955813,0.2443282704275892,0.04622641838672992,False,False
LONG,AT_Lookback_LT:lo,False,False,False,0,0.0,0,0.0,0.0,inf,inf,inf,1.0,1.0,False,False
LONG,AT_Lookback_ST:hi,False,False,True,60,0.1724137931034483,112,0.4426877470355731,0.15911914552021808,1.0835515270005076,2.6200871534761894,1.7529532012085844,0.659449346449652,5.740152190495946e-13,False,True
LONG,AT_Lookback_ST:lo,False,False,False,0,0.0,0,0.0,0.0,inf,inf,inf,1.0,1.0,False,False
LONG,AT_Regime_LT:==0,False,False,False,133,0.382183908045977,74,0.2924901185770751,0.6068302049500178,0.6298036995001856,0.49199432596598025,0.5724792625169419,1.2861069088986224e-14,0.023926421549546783,True,False
LONG,AT_Regime_LT:==1,False,False,True,215,0.617816091954023,179,0.7075098814229249,0.3931697950499517,1.5713722155984293,1.7447794799958054,1.6456790377618165,1.2861069088986224e-14,0.023926421549546783,True,False
LONG,AT_Regime_ST:==0,False,False,False,233,0.6695402298850575,62,0.2450592885375494,0.8345681257109538,0.8022595271233106,0.2941996086536395,0.5886214713541624,9.639250039285565e-15,2.1476198139363406e-25,True,True
LONG,AT_Regime_ST:==1,False,False,True,115,0.33045977011494254,191,0.7549407114624506,0.16543187428903017,1.9975580373198698,4.519776455350113,3.065240967356527,9.639250039285565e-15,2.1476198139363406e-25,True,True
LONG,AT_Score_LT:hi,False,False,True,17,0.04885057471264368,9,0.03557312252964427,0.09163091671777422,0.5331232782828618,0.3934451659579642,0.4747782182352588,0.003410718615439191,0.5435872993538737,True,False
LONG,AT_Score_LT:lo,False,False,True,56,0.16091954022988506,63,0.2490118577075099,0.06111621988056519,2.6330087257418398,4.2949564518408,3.3113677322100896,6.110375355879937e-10,0.009388870543715603,True,False
LONG,AT_Score_ST:hi,False,False,False,65,0.1867816091954023,5,0.019762845849802372,0.24107320579469016,0.7747920743812348,0.07970802795227584,0.4774167737053996,0.021763707303081685,1.373175019090448e-11,False,True
LONG,AT_Score_ST:lo,False,True,False,7,0.020114942528735632,66,0.2608695652173913,0.01270196247805703,1.583609033917768,17.505657217074265,8.912772710689191,0.36555250245626264,4.8061062658327894e-20,False,True
LONG,AT_Slope_LT:hi,False,False,False,77,0.22126436781609196,38,0.15019762845849802,0.3615490773111866,0.6119898561534675,0.4234351265438231,0.5334909884991849,4.4180038761422163e-07,0.03539048550275335,True,False
LONG,AT_Slope_LT:lo,False,False,True,142,0.40804597701149425,141,0.5573122529644269,0.1873614560380861,2.177854429827596,2.810206465556321,2.4528490458041654,5.139486667239439e-21,0.00036508354990812076,True,True
LONG,AT_Slope_ST:hi,False,False,False,195,0.5603448275862069,31,0.1225296442687747,0.6091406003603668,0.9198940724927999,0.20122864429641418,0.6174280653106643,0.18450321455164154,6.819766598813222e-30,False,True
LONG,AT_Slope_ST:lo,False,True,True,33,0.09482758620689655,159,0.6284584980237155,0.045812503517760506,2.0699062248395563,13.104621883498549,6.838611429195051,1.6591676414486997e-05,2.830526807207652e-45,True,True
LONG,Bar_Range:hi,False,False,True,262,0.7528735632183908,218,0.8616600790513834,0.6280275565799118,1.1987906507134187,1.362385772131362,1.2679393449599532,2.221359946350567e-09,0.0009711617836049924,True,True
LONG,Bar_Range:lo,False,False,False,0,0.0,0,0.0,0.0010055124129276507,0.0,0.0,0.0,1.0,1.0,False,False
LONG,Bars_Since_Flip:hi,False,False,True,79,0.22701149425287356,94,0.3715415019762846,0.1687701736966975,1.3450924963841269,2.057463369708189,1.6567811009150732,0.012342229824714876,0.00012640104366402004,False,True
LONG,Bars_Since_Flip:lo,False,False,False,119,0.34195402298850575,54,0.2134387351778656,0.203822289024884,1.6777067151216112,1.0541396892872266,1.4162130231116024,2.178382873369912e-09,0.0007105346164745952,True,True
LONG,Body_Size:hi,False,False,True,178,0.5114942528735632,173,0.6837944664031621,0.5013711742746361,1.0201907870223548,1.37156990080359,1.1676258132851254,0.5504628555415567,2.665268242824858e-05,False,True
LONG,Body_Size:lo,False,False,False,28,0.08045977011494253,6,0.023715415019762844,0.07225923307274544,1.1134877398150818,0.3225914695640857,0.777221218892184,0.5266689263195059,0.0035981747346327704,False,True
LONG,D2D_ATR:hi,False,False,True,307,0.882183908045977,222,0.8774703557312253,0.6656306369204,1.3253354925600782,1.313492256320039,1.320339454030905,1.6923286954167352e-29,0.8990560658033737,True,False
LONG,D2D_ATR:lo,False,False,False,0,0.0,0,0.0,0.0009331668145267369,0.0,0.0,0.0,1.0,1.0,False,False
LONG,D2D_ATR_MA:hi,False,False,True,285,0.8189655172413793,196,0.7747035573122529,0.6302311786353357,1.2994684252447133,1.23459184315739,1.272226365255028,5.837600998161895e-24,0.18124724176926668,True,False
