book,month,trades,bars,events,worst_day,losing_days,days,WR,PF,net
297,2026.01,279,40,1,651.0,0,5,98.57,(1 ev),7470
297,2026.02,1117,177,6,253.0,0,16,97.22,(6 ev),56734
297,2026.03,1370,244,9,-102.4,1,22,96.64,(9 ev),70257
297,2026.04,950,173,7,89.6,0,21,96.42,(7 ev),42842
297,2026.05,659,111,2,-73.3,1,20,98.18,(2 ev),39407
297,2026.06,965,164,14,-346.6,4,22,91.19,(14 ev),32591
297,2026.07,436,64,3,-56.0,1,13,97.25,(3 ev),35674
300,2026.01,312,47,3,23.6,0,5,94.55,(3 ev),7059
300,2026.02,1168,181,10,253.0,0,17,95.55,(10 ev),55390
300,2026.03,1526,261,12,97.6,0,22,95.61,(12 ev),79592
300,2026.04,1049,188,10,-736.0,1,21,95.81,(10 ev),46177
300,2026.05,732,117,4,-326.0,1,20,96.99,(4 ev),40565
300,2026.06,1043,172,18,-905.0,4,22,90.6,(18 ev),33830
300,2026.07,515,78,5,-56.0,1,14,95.53,(5 ev),37100
