direction,cond_a,cond_b,bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,sum_pnl,bars_same_signal,bars_cross_signal_only
LONG,AT_Slope_ST:lo,Slope_EMA_ST:lo,135,125,10,15.6,590.89,79770.7,0,135
LONG,AT_Regime_ST:==1,OR_Low_Side:==-1,121,117,4,14.44,569.18,68871.3,107,14
LONG,AT_Regime_ST:==1,Slope_EMA_ST:lo,121,113,8,16.89,630.84,76331.3,57,64
LONG,AT_Regime_ST:==1,AT_Slope_ST:lo,116,109,7,17.23,657.83,76308.0,68,48
LONG,AT_Regime_ST:==1,Momentum_Value:hi,98,93,5,17.98,824.21,80772.6,88,10
LONG,AT_Regime_ST:==1,Bars_Since_Flip:hi,97,90,7,17.39,568.04,55099.6,0,97
LONG,AT_Regime_ST:==1,OBV_Macd:lo,94,88,6,16.43,860.01,80841.3,59,35
LONG,AT_Slope_ST:lo,Micro_HLAsymmetry:hi,85,82,3,16.88,839.73,71377.0,63,22
LONG,AT_Regime_ST:==1,Volume:hi,84,80,4,15.99,806.03,67706.2,0,84
LONG,Momentum_Value:hi,Slope_EMA_ST:lo,84,79,5,20.05,875.0,73499.6,43,41
LONG,AT_Regime_ST:==1,AT_Slope_LT:lo,83,78,5,19.43,841.7,69861.5,0,83
LONG,AT_Regime_ST:==1,PrevDay_Low_Side:==-1,83,78,5,12.66,799.34,66345.3,79,4
LONG,AT_Slope_LT:lo,Micro_FailedBreak:hi,80,78,2,15.91,769.32,61545.3,75,5
LONG,AT_Regime_ST:==1,Micro_VolOfVol:hi,80,77,3,16.15,621.38,49710.7,77,3
LONG,AT_Slope_LT:lo,Slope_EMA_ST:lo,81,77,4,19.98,869.79,70452.7,63,18
LONG,Micro_HLAsymmetry:hi,Slope_EMA_ST:lo,79,76,3,17.52,861.56,68063.0,40,39
LONG,AT_Slope_LT:lo,AT_Slope_ST:lo,80,76,4,20.19,877.33,70186.1,70,10
LONG,AT_Slope_ST:lo,Momentum_Value:hi,82,76,6,20.35,867.98,71174.6,82,0
LONG,AT_Slope_LT:lo,Momentum_Value:hi,78,74,4,20.04,909.72,70958.3,0,78
LONG,Micro_RangeVelocity:hi,Slope_EMA_ST:lo,73,71,2,15.23,642.88,46929.9,67,6
LONG,Bars_Since_Flip:hi,OR_Low_Side:==-1,72,70,2,17.15,626.11,45080.2,51,21
LONG,AT_Slope_ST:lo,Micro_RollProxy:hi,74,70,4,19.09,902.7,66799.7,72,2
LONG,AT_Regime_LT:==1,Micro_RangeAccel:lo,75,70,5,13.08,596.4,44730.3,73,2
LONG,AT_Regime_ST:==1,D2D_ATR:hi,73,70,3,20.03,732.83,53496.7,0,73
LONG,AT_Regime_ST:==1,Upper_Wick:hi,71,69,2,17.03,1198.13,85066.9,0,71
