n,loss_events,worst_bar,worst_day,days,WR_bars,PF,net,direction,population,month
253,14,-153.0,-129.6,87,94.5,(14 ev - count),12539.6,LONG,A∩297,
14,0,9.1,34.6,4,100.0,(0 ev - count),348.3,LONG,A∩297,2026.01
55,2,-80.1,15.7,13,96.4,(2 ev - count),1987.3,LONG,A∩297,2026.02
43,4,-153.0,-92.4,14,90.7,(4 ev - count),3056.3,LONG,A∩297,2026.03
25,0,9.0,9.9,14,100.0,(0 ev - count),1018.5,LONG,A∩297,2026.04
34,1,-52.9,-52.9,15,97.1,(1 ev - count),1737.7,LONG,A∩297,2026.05
55,6,-153.0,-129.6,17,89.1,(6 ev - count),2462.1,LONG,A∩297,2026.06
27,1,-64.8,-45.7,10,96.3,(1 ev - count),1929.4,LONG,A∩297,2026.07
696,151,-306.0,-693.4,121,78.3,0.77,-4376.3,LONG,A\297,
35,4,-153.0,-133.0,4,88.6,(4 ev - count),318.3,LONG,A\297,2026.01
92,21,-205.8,-441.2,19,77.2,0.58,-1133.8,LONG,A\297,2026.02
198,42,-306.0,-659.3,22,78.8,0.77,-1329.7,LONG,A\297,2026.03
84,15,-242.5,-693.4,19,82.1,(15 ev - count),-363.0,LONG,A\297,2026.04
80,17,-306.0,-248.5,21,78.8,(17 ev - count),-551.1,LONG,A\297,2026.05
135,37,-306.0,-692.1,22,72.6,0.61,-1621.9,LONG,A\297,2026.06
72,15,-240.4,-396.4,14,79.2,(15 ev - count),304.9,LONG,A\297,2026.07
348,20,-153.0,-106.8,92,94.3,7.68,11062.3,LONG,297\A,
18,1,-101.0,-80.8,4,94.4,(1 ev - count),238.3,LONG,297\A,2026.01
61,2,-120.2,-33.8,14,96.7,(2 ev - count),2447.5,LONG,297\A,2026.02
106,5,-153.0,-106.8,20,95.3,(5 ev - count),3598.2,LONG,297\A,2026.03
65,5,-102.4,10.0,17,92.3,(5 ev - count),2610.5,LONG,297\A,2026.04
32,0,11.5,13.4,10,100.0,(0 ev - count),1081.5,LONG,297\A,2026.05
51,6,-108.2,-92.5,21,88.2,(6 ev - count),835.3,LONG,297\A,2026.06
15,1,-58.6,12.0,6,93.3,(1 ev - count),251.0,LONG,297\A,2026.07
84,1,-128.9,-104.7,53,98.8,(1 ev - count),4085.3,SHORT,A∩297,
2,0,42.0,42.0,2,100.0,(0 ev - count),166.5,SHORT,A∩297,2026.01
13,0,16.0,25.4,7,100.0,(0 ev - count),1483.7,SHORT,A∩297,2026.02
16,0,9.1,23.9,11,100.0,(0 ev - count),469.1,SHORT,A∩297,2026.03
23,1,-128.9,-104.7,13,95.7,(1 ev - count),644.9,SHORT,A∩297,2026.04
14,0,20.0,20.0,8,100.0,(0 ev - count),698.0,SHORT,A∩297,2026.05
9,0,11.2,12.9,6,100.0,(0 ev - count),384.9,SHORT,A∩297,2026.06
7,0,13.9,13.9,6,100.0,(0 ev - count),238.2,SHORT,A∩297,2026.07
635,119,-306.0,-578.2,120,81.3,0.86,-2326.5,SHORT,A\297,
17,2,-153.0,-13.6,5,88.2,(2 ev - count),107.7,SHORT,A\297,2026.01
78,16,-200.2,-391.1,17,79.5,(16 ev - count),-804.7,SHORT,A\297,2026.02
167,29,-306.0,-366.6,23,82.6,0.88,-494.4,SHORT,A\297,2026.03
112,22,-306.0,-578.2,20,80.4,0.91,-295.5,SHORT,A\297,2026.04
112,25,-306.0,-557.4,21,77.7,0.81,-586.8,SHORT,A\297,2026.05
93,13,-153.0,-211.0,21,86.0,(13 ev - count),380.7,SHORT,A\297,2026.06
56,12,-306.0,-292.1,14,78.6,(12 ev - count),-633.5,SHORT,A\297,2026.07
288,7,-139.7,-111.0,85,97.6,(7 ev - count),9537.4,SHORT,297\A,
6,0,12.6,41.8,3,100.0,(0 ev - count),330.4,SHORT,297\A,2026.01
48,2,-73.0,-10.7,12,95.8,(2 ev - count),1531.6,SHORT,297\A,2026.02
79,0,9.6,15.6,19,100.0,(0 ev - count),2909.0,SHORT,297\A,2026.03
60,1,-121.7,-111.0,17,98.3,(1 ev - count),1567.1,SHORT,297\A,2026.04
31,1,-59.4,-12.5,14,96.8,(1 ev - count),1171.1,SHORT,297\A,2026.05
49,2,-139.7,-20.5,14,95.9,(2 ev - count),1771.4,SHORT,297\A,2026.06
15,1,-52.8,-42.2,6,93.3,(1 ev - count),256.8,SHORT,297\A,2026.07
