direction,condition,bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,share_traded_bars
LONG,AT_Regime_ST:==1,226,212,14,12.451327433628318,524.1305309734513,0.37603993344425957
LONG,Volume:hi,197,189,8,10.802030456852792,516.9639593908629,0.3277870216306156
LONG,OBV_Macd:lo,185,175,10,11.286486486486487,592.78,0.30782029950083195
LONG,AT_Slope_ST:lo,184,173,11,13.5,500.3847826086957,0.30615640599001664
LONG,OR_Low_Side:==-1,171,165,6,11.964912280701755,457.2391812865497,0.28452579034941766
LONG,PrevDay_Low_Side:==-1,169,156,13,9.218934911242604,484.708875739645,0.281198003327787
LONG,Slope_EMA_ST:lo,167,155,12,14.275449101796408,524.8239520958084,0.2778702163061564
LONG,Micro_Rejection:lo,156,148,8,8.102564102564102,348.7083333333333,0.259567387687188
LONG,Upper_Wick:hi,140,136,4,11.521428571428572,772.2228571428572,0.23294509151414308
LONG,Bars_Since_Flip:hi,144,134,10,13.5,432.06597222222223,0.23960066555740434
LONG,Volume_Avg_10:hi,126,124,2,10.34920634920635,445.3269841269841,0.2096505823627288
LONG,Momentum_Value:hi,130,123,7,15.523076923076923,686.8215384615385,0.21630615640599002
LONG,Slope_Accel_LT:hi,121,115,6,8.40495867768595,199.98016528925618,0.20133111480865223
LONG,AT_Regime_LT:==1,122,112,10,10.631147540983607,472.022131147541,0.20299500831946754
LONG,OR_High_Side:==-1,117,112,5,10.341880341880342,497.89145299145304,0.194675540765391
LONG,Micro_HLAsymmetry:hi,115,111,4,14.365217391304348,693.8113043478261,0.1913477537437604
LONG,AT_Slope_LT:lo,116,110,6,16.189655172413794,662.944827586207,0.1930116472545757
LONG,Micro_FailedBreak:hi,114,110,4,13.394736842105264,588.2131578947369,0.1896838602329451
LONG,Session_Low_Dist_ATR:lo,115,110,5,10.31304347826087,741.6095652173914,0.1913477537437604
LONG,Micro_VolOfVol:hi,112,109,3,13.580357142857142,526.0133928571429,0.18635607321131448
LONG,Micro_RollProxy:hi,114,107,7,14.31578947368421,758.5649122807017,0.1896838602329451
LONG,Bar_Range:hi,109,104,5,11.98165137614679,672.1880733944954,0.18136439267886856
LONG,Micro_Hurst:hi,104,99,5,11.548076923076923,697.9509615384616,0.17304492512479203
LONG,Micro_WickImbalance:lo,98,96,2,12.53061224489796,864.9193877551021,0.16306156405990016
LONG,Micro_AutoCorr:hi,96,94,2,12.40625,855.1916666666666,0.15973377703826955
LONG,Micro_RangeAccel:lo,99,93,6,11.333333333333334,497.55151515151516,0.16472545757071547
LONG,Micro_LogReturn:hi,95,92,3,12.557894736842105,748.0021052631579,0.15806988352745424
LONG,VWAP_Side:==-1,98,92,6,14.540816326530612,728.0785714285714,0.16306156405990016
LONG,D2D_Signal:==1,92,91,1,9.923913043478262,967.7945652173913,0.15307820299500832
LONG,VWAP_Sigma:hi,89,87,2,11.98876404494382,554.2348314606742,0.1480865224625624
LONG,Micro_RangeVelocity:lo,97,86,11,10.618556701030927,490.67422680412375,0.16139767054908485
LONG,Sqz_State:==1,91,86,5,11.153846153846153,596.2417582417582,0.15141430948419302
LONG,D2D_ATR:hi,88,85,3,17.59090909090909,626.8954545454545,0.1464226289517471
LONG,Lower_Wick:hi,93,85,8,12.279569892473118,360.4182795698925,0.15474209650582363
LONG,PrevDay_High_Dist_ATR:lo,89,82,7,6.910112359550562,557.8505617977528,0.1480865224625624
LONG,Body_Size:hi,86,81,5,17.1046511627907,815.0313953488371,0.14309484193011648
LONG,Micro_RangeVelocity:hi,83,81,2,14.289156626506024,598.056626506024,0.13810316139767054
LONG,Session_High_Dist_ATR:lo,83,80,3,7.698795180722891,757.1927710843373,0.13810316139767054
