bar,time,direction,depth_q,admissible_nA,admitted,capped,slots,distinct_conds,distinct_vars,conds_per_slot,vars_per_slot,eH_conds,eH_vars,bar_pnl,loss_event,cond_set,sig_set,ADX_Value,ATR_1M,Volume,Micro_Hurst,Micro_FailedBreak,D2D_Trend_Dir,AT_Slope_ST,exp_conds_random,exp_vars_random
7025,2026.01.26 22:59,SHORT,4,4,4,0,12,11,11,0.9167,0.9167,10.691,10.691,498.0,0,AT_Lookback_LT:hi|AT_Score_LT:hi|Body_Size:hi|D2D_Dynamic_Sensitivity:lo|Micro_Amihud:lo|Micro_IBSP:lo|Micro_WickImbalance:hi|RangeOsc_State:==-2|VWAP_Sigma:hi|Volume:hi|Volume_Ratio_10:hi,193|198|222|295,23.031223772631087,23.603331,318,0.406274,-0.764723,-1,-4.5e-05,11.61144858072867,11.371771386700862
7031,2026.01.26 23:05,SHORT,4,4,4,0,12,9,9,0.75,0.75,8.485,8.485,110.4,0,AT_Score_LT:hi|AT_Slope_ST:lo|Bar_Range:hi|D2D_ATR:hi|Micro_BarEntropy:lo|Micro_HLAsymmetry:lo|Micro_Hurst:hi|RangeOsc_State:==-1|Session_High_Dist_ATR:lo,209|214|240|253,33.96675026303376,50.928906,191,0.494724,-1.238786,-1,-0.000119,11.61144858072867,11.371771386700862
7038,2026.01.26 23:12,SHORT,3,3,3,0,9,8,8,0.8889,0.8889,7.715,7.715,42.6,0,AT_Score_LT:hi|AT_Slope_ST:lo|Bar_Range:hi|D2D_ATR:hi|Micro_Hurst:hi|Micro_Lambda:hi|Micro_RangeVelocity:lo|RangeOsc_State:==-1,209|214|255,50.4870875903932,28.712343,71,0.554767,0.682633,-1,-0.000263,8.803955007256892,8.681536388140161
8003,2026.01.27 16:32,LONG,17,17,17,0,51,27,27,0.5294,0.5294,20.694,20.694,714.0,0,AT_Regime_ST:==1|Bars_Since_Flip:hi|DailyOpen_Dist_ATR:lo|EMA_Oscillator:lo|Harmonic_OBVf_Concordance:==0|KAMA_Dist:lo|Lower_Wick:hi|Micro_Amihud:hi|Micro_Entropy:lo|Micro_HLAsymmetry:lo|Micro_LogReturn:hi|Micro_MicroGap:hi|Micro_VolOfVol:hi|Micro_WickImbalance:hi|Momentum_Value:lo|MultiDay_Position:lo|OBV_Macd:lo|OR_High_Side:==-1|OR_Low_Side:==-1|PrevDay_High_Side:==-1|PrevDay_Low_Dist_ATR:lo|RangeOsc_State:==-1|Upper_Wick:hi|VWAP_Dist_ATR:lo|VWAP_Sigma_ATR:lo|Volume:hi|Volume_Ratio_10:hi,52|53|68|72|73|74|75|76|77|78|79|80|84|88|115|121|132,27.72318446711315,113.020594,451,0.408597,0.38931,1,-2.6e-05,39.47019718129435,36.124585777632284
8008,2026.01.27 16:37,LONG,6,6,6,0,18,13,13,0.7222,0.7222,11.896,11.896,109.2,0,AT_Regime_LT:==1|AT_Regime_ST:==1|Bars_Since_Flip:hi|Lower_Wick:lo|Micro_LogReturn:hi|Micro_TickIntensity:hi|Micro_VolOfVol:hi|Micro_WickImbalance:hi|MultiDay_Position:lo|OR_Low_Side:==-1|Session_Low_Dist_ATR:lo|VWAP_Sigma_ATR:lo|Volume_Avg_10:hi,52|56|57|95|115|116,20.662542850585247,35.412902,343,0.411606,0.0,1,-2.6e-05,16.435780104648117,15.954503499974125
8015,2026.01.27 16:44,LONG,7,7,7,0,21,14,14,0.6667,0.6667,12.384,12.384,282.8,0,AT_Regime_ST:==1|AT_Score_LT:lo|Bars_Since_Flip:hi|Dist_To_PoC_ATR:lo|Micro_Amihud:hi|Micro_PriceAccel:lo|Micro_VolOfVol:lo|MultiDay_Position:lo|OR_Low_Side:==-1|Round_1000_Dist_ATR:lo|Round_500_Dist_ATR:lo|Session_Low_Dist_ATR:lo|VWAP_Sigma_ATR:lo|Volume_Avg_10:hi,9|51|52|56|57|66|80,19.24443522142453,38.677926,314,0.541142,0.0,1,-2.6e-05,18.856446644718016,18.199528660922656
8018,2026.01.27 16:47,LONG,5,3,3,0,15,12,12,0.8,0.8,11.368,11.368,76.8,0,AT_Regime_ST:==1|AT_Score_LT:lo|Bars_Since_Flip:hi|KAMA_Dist:lo|Micro_MicroGap:lo|MultiDay_Position:lo|OR_High_Side:==-1|OR_Low_Side:==-1|RangeOsc_State:==-1|Session_Low_Dist_ATR:lo|Upper_Wick:hi|Volume_Avg_10:hi,8|56|57|77|99,16.739840783294703,26.371111,308,0.520835,-0.530884,1,-2.6e-05,13.933964781772266,13.604790342516026
8078,2026.01.27 17:47,LONG,3,3,3,0,9,7,7,0.7778,0.7778,6.614,6.614,64.8,0,AT_Regime_ST:==1|Bars_Since_Flip:hi|Micro_Amihud:hi|Micro_Hurst:hi|Micro_PriceAccel:lo|Momentum_Value:hi|OR_Low_Side:==-1,51|80|118,20.44780774441052,23.026165,212,0.521166,-0.043429,1,-3.3e-05,8.665108670454496,8.56108508618842
9377,2026.01.28 16:41,LONG,6,6,6,0,18,11,11,0.6111,0.6111,9.442,9.442,98.4,0,Bar_Range:hi|Micro_Lambda:lo|Micro_OrderFlowDelta:lo|Micro_Rejection:lo|OR_Low_Side:==1|RangeOsc_State:==2|Session_Low_Dist_ATR:lo|Slope_EMA_ST:hi|VWAP_Sigma:lo|Volume:hi|Volume_Avg_10:hi,46|112|113|163|184|186,27.09663323487355,32.288028,364,0.468351,0.201313,1,-1.2e-05,16.435780104648117,15.954503499974125
9379,2026.01.28 16:43,LONG,7,6,6,0,21,14,14,0.6667,0.6667,12.276,12.276,76.2,0,AT_Slope_ST:lo|DailyOpen_Side:==-1|Dist_To_PoC_ATR:lo|Micro_IBSP:lo|Micro_MomoTransfer:lo|Micro_OrderFlowDelta:lo|Micro_VolOfVol:lo|OR_High_Side:==-1|OR_Position:hi|Round_1000_Dist_ATR:lo|Session_Low_Dist_ATR:lo|VWAP_Sigma:lo|Volume:hi|Volume_Avg_10:hi,44|66|91|102|146|147|184,23.786850701898103,26.234306,336,0.464221,0.0,1,-5.8e-05,18.856446644718016,18.199528660922656
