signal_idx,signal_name,direction,entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,pnl,pnl_per_lot,lots,exit_type,tiers,be_nudged,initial_risk,tid,plan_depth,exec_depth
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,8036,8060,2026.01.27 17:05,2026.01.27 17:29,48921.45,48894.670243199995,23.8,23.8,1.0,BE,1,True,150.0,1,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,9366,9404,2026.01.28 16:30,2026.01.28 17:08,49105.3,48955.3,-153.0,-153.0,1.0,SL,0,False,150.0,2,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,9408,9411,2026.01.28 17:12,2026.01.28 17:15,48926.8,48913.545952,10.3,10.3,1.0,BE,1,True,44.18016,3,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,10790,10792,2026.01.29 17:29,2026.01.29 17:31,48813.7,48789.227280399995,21.5,21.5,1.0,BE,1,True,150.0,9,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,10792,10795,2026.01.29 17:31,2026.01.29 17:34,48779.7,48749.832051,26.9,26.9,1.0,BE,1,True,150.0,10,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,12207,12252,2026.01.30 18:21,2026.01.30 19:06,48588.35,48564.7362698,20.6,20.6,1.0,BE,1,True,150.0,18,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,12252,12254,2026.01.30 19:06,2026.01.30 19:08,48543.4,48521.300743,19.1,19.1,1.0,BE,1,True,147.32838,19,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,12326,12328,2026.01.30 20:20,2026.01.30 20:22,48479.9,48460.921764800005,16.0,16.0,1.0,BE,1,True,126.521568,24,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,13474,13478,2026.02.02 16:43,2026.02.02 16:47,49090.3,49113.124443400004,19.8,19.8,1.0,LF,3,True,150.0,29,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,13478,13480,2026.02.02 16:47,2026.02.02 16:49,49116.3,49133.4716424,14.2,14.2,1.0,BE,2,True,57.238808,30,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,13480,13483,2026.02.02 16:49,2026.02.02 16:52,49154.8,49178.103076,20.3,20.3,1.0,BE,1,True,150.0,31,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,13483,13487,2026.02.02 16:52,2026.02.02 16:56,49177.3,49120.612758,-59.7,-59.7,1.0,SL,0,False,56.687242,32,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,13499,13503,2026.02.02 17:08,2026.02.02 17:12,49156.3,49169.643374800005,10.3,10.3,1.0,BE,1,True,88.955832,34,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,13503,13505,2026.02.02 17:12,2026.02.02 17:14,49173.3,49187.7314772,11.4,11.4,1.0,BE,1,True,96.209848,35,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,13505,13511,2026.02.02 17:14,2026.02.02 17:20,49189.3,49204.4192998,12.1,12.1,1.0,BE,2,True,100.795332,36,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,13512,13516,2026.02.02 17:21,2026.02.02 17:25,49226.35,49245.0306574,15.7,15.7,1.0,BE,1,True,124.537716,37,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,13545,13561,2026.02.02 17:54,2026.02.02 18:10,49327.35,49339.993088999996,19.3,9.6,2.0,BE,1,True,84.28726,38,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,14836,14853,2026.02.03 16:40,2026.02.03 16:57,49615.0,49465.0,-153.0,-153.0,1.0,SL,0,False,150.0,40,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,14957,14968,2026.02.03 18:41,2026.02.03 18:52,49284.25,49261.8041212,19.4,19.4,1.0,BE,1,True,149.639192,44,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,14988,15013,2026.02.03 19:12,2026.02.03 19:37,49161.8,49116.8,42.0,42.0,1.0,BE,1,True,150.0,45,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,15016,15018,2026.02.03 19:40,2026.02.03 19:42,49106.75,49094.5728596,9.2,9.2,1.0,BE,1,True,81.180936,46,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,15028,15036,2026.02.03 19:52,2026.02.03 20:00,49042.25,49012.4189636,26.8,26.8,1.0,BE,1,True,150.0,47,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,15097,15105,2026.02.03 21:01,2026.02.03 21:09,48863.5,48832.5550906,27.9,27.9,1.0,BE,1,True,150.0,49,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,16507,16510,2026.02.04 21:46,2026.02.04 21:49,49498.55,49530.6636338,29.1,29.1,1.0,BE,1,True,150.0,61,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,16512,16515,2026.02.04 21:51,2026.02.04 21:54,49530.1,49558.4640862,25.4,25.4,1.0,BE,1,True,150.0,62,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,17560,17571,2026.02.05 16:34,2026.02.05 16:45,49178.5,49328.5,-153.0,-153.0,1.0,SL,0,False,150.0,64,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,17586,17592,2026.02.05 17:00,2026.02.05 17:06,49137.0,49092.0,42.0,42.0,1.0,BE,1,True,150.0,65,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,17592,17597,2026.02.05 17:06,2026.02.05 17:11,49073.5,49047.9452068,22.6,22.6,1.0,BE,1,True,150.0,66,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,17597,17600,2026.02.05 17:11,2026.02.05 17:14,49011.5,48982.0667756,26.4,26.4,1.0,BE,1,True,150.0,67,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,17600,17607,2026.02.05 17:14,2026.02.05 17:21,48982.5,48963.6778536,15.8,15.8,1.0,BE,1,True,125.480976,68,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,17608,17616,2026.02.05 17:22,2026.02.05 17:30,48945.0,48909.56427,32.4,32.4,1.0,BE,2,True,150.0,69,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,17617,17621,2026.02.05 17:31,2026.02.05 17:35,48854.5,48828.1616464,23.3,23.3,1.0,BE,1,True,150.0,70,1,1
1,S_2___FLAT_S+__FLAT_S+__FLAT_S,SHORT,17631,17668,2026.02.05 17:45,2026.02.05 18:22,48849.0,48999.0,-153.0,-153.0,1.0,SL,0,False,150.0,71,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,18921,18923,2026.02.06 16:30,2026.02.06 16:32,49300.6,49345.6,84.0,42.0,2.0,BE,1,True,150.0,75,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,18923,18926,2026.02.06 16:32,2026.02.06 16:35,49428.1,49473.1,84.0,42.0,2.0,BE,1,True,150.0,76,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,18926,18929,2026.02.06 16:35,2026.02.06 16:38,49511.6,49555.6232198,41.0,41.0,1.0,BE,1,True,150.0,77,1,1
0,L_1___FLAT_L+__FLAT_L+__FLAT_L,LONG,18929,18934,2026.02.06 16:38,2026.02.06 16:43,49558.6,49583.067052599996,21.5,21.5,1.0,BE,1,True,81.556842,78,1,1
