signal_idx,signal_name,direction,entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,pnl,pnl_per_lot,lots,exit_type,tiers,be_nudged,initial_risk,tid,plan_depth,exec_depth
30,S_31___RR_SHO+__RR_SHO+__RR_SHO,SHORT,8036,8060,2026.01.27 17:05,2026.01.27 17:29,48921.45,48894.670243199995,23.8,23.8,1.0,BE,1,True,150.0,1,1,1
0,L_1___RR_LON+__RR_LON+__RR_LON,LONG,9366,9404,2026.01.28 16:30,2026.01.28 17:08,49105.3,48955.3,-153.0,-153.0,1.0,SL,0,False,150.0,2,1,1
31,S_32___RR_SHO+__RR_SHO+__RR_SHO,SHORT,9408,9411,2026.01.28 17:12,2026.01.28 17:15,48926.8,48913.545952,10.3,10.3,1.0,BE,1,True,44.18016,3,1,1
32,S_33___RR_SHO+__RR_SHO+__RR_SHO,SHORT,10790,10792,2026.01.29 17:29,2026.01.29 17:31,48813.7,48789.227280399995,21.5,21.5,1.0,BE,1,True,150.0,9,1,1
33,S_34___RR_SHO+__RR_SHO+__RR_SHO,SHORT,10792,10795,2026.01.29 17:31,2026.01.29 17:34,48779.7,48749.832051,26.9,26.9,1.0,BE,1,True,150.0,10,1,1
34,S_35___RR_SHO+__RR_SHO+__RR_SHO,SHORT,10793,10797,2026.01.29 17:32,2026.01.29 17:36,48757.7,48735.622600999995,19.1,19.1,1.0,BE,1,True,147.18266,11,1,1
35,S_36___RR_SHO+__RR_SHO+__RR_SHO,SHORT,12207,12252,2026.01.30 18:21,2026.01.30 19:06,48588.35,48564.7362698,20.6,20.6,1.0,BE,1,True,150.0,19,1,1
36,S_37___RR_SHO+__RR_SHO+__RR_SHO,SHORT,12209,12252,2026.01.30 18:23,2026.01.30 19:06,48586.35,48566.042238,17.3,17.3,1.0,BE,1,True,135.38508,20,1,1
37,S_38___RR_SHO+__RR_SHO+__RR_SHO,SHORT,12252,12254,2026.01.30 19:06,2026.01.30 19:08,48543.4,48521.300743,19.1,19.1,1.0,BE,1,True,147.32838,21,1,1
38,S_39___RR_SHO+__RR_SHO+__RR_SHO,SHORT,12326,12328,2026.01.30 20:20,2026.01.30 20:22,48479.9,48460.921764800005,16.0,16.0,1.0,BE,1,True,126.521568,26,1,1
2,L_3___RR_LON+__RR_LON+__RR_LON,LONG,13475,13477,2026.02.02 16:44,2026.02.02 16:46,49124.8,49148.7083614,20.9,20.9,1.0,BE,1,True,150.0,32,1,1
1,L_2___RR_LON+__RR_LON+__RR_LON,LONG,13474,13478,2026.02.02 16:43,2026.02.02 16:47,49090.3,49113.124443400004,19.8,19.8,1.0,LF,3,True,150.0,31,1,1
3,L_4___RR_LON+__RR_LON+__RR_LON,LONG,13477,13480,2026.02.02 16:46,2026.02.02 16:49,49133.8,49151.483246200005,29.4,14.7,2.0,BE,1,True,58.944154,33,1,1
4,L_5___RR_LON+__RR_LON+__RR_LON,LONG,13478,13480,2026.02.02 16:47,2026.02.02 16:49,49116.3,49133.4716424,14.2,14.2,1.0,BE,2,True,57.238808,34,1,1
5,L_6___RR_LON+__RR_LON+__RR_LON,LONG,13479,13482,2026.02.02 16:48,2026.02.02 16:51,49146.3,49170.620046000004,42.6,21.3,2.0,BE,1,True,150.0,35,1,1
6,L_7___RR_LON+__RR_LON+__RR_LON,LONG,13480,13483,2026.02.02 16:49,2026.02.02 16:52,49154.8,49178.103076,20.3,20.3,1.0,BE,1,True,150.0,36,1,1
7,L_8___RR_LON+__RR_LON+__RR_LON,LONG,13481,13483,2026.02.02 16:50,2026.02.02 16:52,49161.3,49183.390818,19.1,19.1,1.0,BE,1,True,147.27212,37,1,1
9,L_10___RR_LON+__RR_LON+__RR_LON,LONG,13483,13487,2026.02.02 16:52,2026.02.02 16:56,49177.3,49120.612758,-59.7,-59.7,1.0,SL,0,False,56.687242,39,1,1
10,L_11___RR_LON+__RR_LON+__RR_LON,LONG,13484,13487,2026.02.02 16:53,2026.02.02 16:56,49165.3,49111.263506,-114.1,-57.0,2.0,SL,0,False,54.036494,40,1,1
11,L_12___RR_LON+__RR_LON+__RR_LON,LONG,13485,13488,2026.02.02 16:54,2026.02.02 16:57,49143.3,49078.577606000006,-135.4,-67.7,2.0,SL,0,False,64.722394,41,1,1
12,L_13___RR_LON+__RR_LON+__RR_LON,LONG,13486,13488,2026.02.02 16:55,2026.02.02 16:57,49136.3,49076.758768,-125.1,-62.5,2.0,SL,0,False,59.541232,42,1,1
8,L_9___RR_LON+__RR_LON+__RR_LON,LONG,13482,13489,2026.02.02 16:51,2026.02.02 16:58,49187.3,49038.322208000005,-152.0,-152.0,1.0,SL,0,False,148.977792,38,1,1
13,L_14___RR_LON+__RR_LON+__RR_LON,LONG,13499,13503,2026.02.02 17:08,2026.02.02 17:12,49156.3,49169.643374800005,10.3,10.3,1.0,BE,1,True,88.955832,44,1,1
14,L_15___RR_LON+__RR_LON+__RR_LON,LONG,13502,13505,2026.02.02 17:11,2026.02.02 17:14,49165.3,49178.8226344,10.5,10.5,1.0,BE,1,True,90.150896,45,1,1
15,L_16___RR_LON+__RR_LON+__RR_LON,LONG,13503,13505,2026.02.02 17:12,2026.02.02 17:14,49173.3,49187.7314772,11.4,11.4,1.0,BE,1,True,96.209848,46,1,1
16,L_17___RR_LON+__RR_LON+__RR_LON,LONG,13504,13506,2026.02.02 17:13,2026.02.02 17:15,49181.3,49193.891760800005,9.6,9.6,1.0,BE,1,True,83.945072,47,1,1
17,L_18___RR_LON+__RR_LON+__RR_LON,LONG,13505,13511,2026.02.02 17:14,2026.02.02 17:20,49189.3,49204.4192998,12.1,12.1,1.0,BE,2,True,100.795332,48,1,1
18,L_19___RR_LON+__RR_LON+__RR_LON,LONG,13506,13511,2026.02.02 17:15,2026.02.02 17:20,49203.35,49220.2660766,13.9,13.9,1.0,BE,1,True,112.773844,49,1,1
19,L_20___RR_LON+__RR_LON+__RR_LON,LONG,13507,13511,2026.02.02 17:16,2026.02.02 17:20,49194.3,49213.9346586,33.3,16.6,2.0,BE,1,True,65.448862,50,1,1
20,L_21___RR_LON+__RR_LON+__RR_LON,LONG,13510,13515,2026.02.02 17:19,2026.02.02 17:24,49212.3,49237.009700400005,21.7,21.7,1.0,BE,1,True,150.0,51,1,1
21,L_22___RR_LON+__RR_LON+__RR_LON,LONG,13512,13516,2026.02.02 17:21,2026.02.02 17:25,49226.35,49245.0306574,15.7,15.7,1.0,BE,1,True,124.537716,52,1,1
22,L_23___RR_LON+__RR_LON+__RR_LON,LONG,13513,13516,2026.02.02 17:22,2026.02.02 17:25,49229.35,49243.4552182,11.1,11.1,1.0,BE,1,True,47.017394,53,1,1
23,L_24___RR_LON+__RR_LON+__RR_LON,LONG,13514,13524,2026.02.02 17:23,2026.02.02 17:33,49235.35,49249.6918132,11.3,11.3,1.0,BE,1,True,95.612088,54,1,1
24,L_25___RR_LON+__RR_LON+__RR_LON,LONG,13545,13561,2026.02.02 17:54,2026.02.02 18:10,49327.35,49339.993088999996,19.3,9.6,2.0,BE,1,True,84.28726,55,1,1
25,L_26___RR_LON+__RR_LON+__RR_LON,LONG,14836,14853,2026.02.03 16:40,2026.02.03 16:57,49615.0,49465.0,-153.0,-153.0,1.0,SL,0,False,150.0,57,1,1
39,S_40___RR_SHO+__RR_SHO+__RR_SHO,SHORT,14957,14968,2026.02.03 18:41,2026.02.03 18:52,49284.25,49261.8041212,19.4,19.4,1.0,BE,1,True,149.639192,61,1,1
40,S_41___RR_SHO+__RR_SHO+__RR_SHO,SHORT,14988,15013,2026.02.03 19:12,2026.02.03 19:37,49161.8,49116.8,42.0,42.0,1.0,BE,1,True,150.0,62,1,1
