signal_idx,signal_name,direction,entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,pnl,pnl_per_lot,lots,exit_type,tiers,be_nudged,initial_risk,tid,plan_depth,exec_depth
193,S_194_AT_Lookb+Micro_Am+Body_Siz,SHORT,7025,7038,2026.01.26 22:59,2026.01.26 23:12,49401.1,49273.6420126,124.5,124.5,1.0,LF,12,True,94.413324,1,4,4
198,S_199_AT_Score+Volume_R+Volume,SHORT,7025,7038,2026.01.26 22:59,2026.01.26 23:12,49401.1,49273.6420126,124.5,124.5,1.0,LF,12,True,94.413324,2,4,4
222,S_223_D2D_Dyna+Micro_IB+Micro_Wi,SHORT,7025,7038,2026.01.26 22:59,2026.01.26 23:12,49401.1,49273.6420126,124.5,124.5,1.0,LF,12,True,94.413324,3,4,4
295,S_296_Volume_R+VWAP_Sig+RangeOsc,SHORT,7025,7038,2026.01.26 22:59,2026.01.26 23:12,49401.1,49273.6420126,124.5,124.5,1.0,LF,12,True,94.413324,4,4,4
209,S_210_Bar_Rang+AT_Score+AT_Slope,SHORT,7031,7038,2026.01.26 23:05,2026.01.26 23:12,49304.68,49274.1226564,27.6,27.6,1.0,BE,2,True,150.0,5,4,4
214,S_215_D2D_ATR+AT_Score+RangeOsc,SHORT,7031,7038,2026.01.26 23:05,2026.01.26 23:12,49304.68,49274.1226564,27.6,27.6,1.0,BE,2,True,150.0,6,4,4
240,S_241_Micro_Ba+Micro_Hu+Session_,SHORT,7031,7038,2026.01.26 23:05,2026.01.26 23:12,49304.68,49274.1226564,27.6,27.6,1.0,BE,2,True,150.0,7,4,4
253,S_254_Micro_HL+Micro_Hu+Session_,SHORT,7031,7038,2026.01.26 23:05,2026.01.26 23:12,49304.68,49274.1226564,27.6,27.6,1.0,BE,2,True,150.0,8,4,4
209,S_210_Bar_Rang+AT_Score+AT_Slope,SHORT,7038,7042,2026.01.26 23:12,2026.01.26 23:16,49280.18,49262.952594200004,14.2,14.2,1.0,BE,1,True,57.424686,9,3,3
214,S_215_D2D_ATR+AT_Score+RangeOsc,SHORT,7038,7042,2026.01.26 23:12,2026.01.26 23:16,49280.18,49262.952594200004,14.2,14.2,1.0,BE,1,True,57.424686,10,3,3
255,S_256_Micro_Hu+Micro_La+Micro_Ra,SHORT,7038,7042,2026.01.26 23:12,2026.01.26 23:16,49280.18,49262.952594200004,14.2,14.2,1.0,BE,1,True,57.424686,11,3,3
115,L_116_Micro_Vo+AT_Regim+OR_Low_S,LONG,8001,8002,2026.01.27 16:30,2026.01.27 16:31,49107.5,48957.5,-153.0,-153.0,1.0,SL,0,False,150.0,12,4,4
132,L_133_OBV_Macd+Volume_R+AT_Regim,LONG,8001,8002,2026.01.27 16:30,2026.01.27 16:31,49107.5,48957.5,-153.0,-153.0,1.0,SL,0,False,150.0,13,4,4
133,L_134_OBV_Velo+DailyOpe+D2D_Sign,LONG,8001,8002,2026.01.27 16:30,2026.01.27 16:31,49107.5,48957.5,-153.0,-153.0,1.0,SL,0,False,150.0,14,4,4
