tag,loss_events,worst_bar,worst_day,losing_weeks,weeks,days,loss_days,entry_bars,trades,WR,PF,BE_WR,MARGIN,net,lots_per_bar_mean,max_concurrent,breach_2500,k,convention,status,trial_no,rule_bars_LONG,rule_bars_LONG_in_297,rule_LONG_T,rule_bars_SHORT,rule_bars_SHORT_in_297,rule_SHORT_T,window,fold
FULL_k2_ONE,221.0,-306.0,-671.6,9.0,26.0,127.0,101.0,1241.0,1241,82.19,1.16,79.93,2.26,4790.5,1.0,2.0,0.0,2,ONE,OK,2,949,253,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']",719.0,84.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']",FULL,
FULL_k2_RR,285.0,-306.0,-1327.9,7.0,26.0,127.0,106.0,1668.0,1668,82.91,1.27,79.26,3.65,9922.1,1.0,7.0,0.0,2,RR,OK,3,949,253,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']",719.0,84.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']",FULL,
FULL_k3_ONE,60.0,-306.0,-521.2,11.0,26.0,112.0,49.0,344.0,344,82.56,1.3,78.4,4.16,2677.4,1.0,2.0,0.0,3,ONE,OK,4,236,111,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']",216.0,24.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']",FULL,
FULL_k3_RR,81.0,-306.0,-795.0,12.0,26.0,112.0,51.0,452.0,452,82.08,1.33,77.44,4.64,3578.2,1.0,7.0,0.0,3,RR,OK,5,236,111,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']",216.0,24.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']",FULL,
FULL_k4_ONE,12.0,-306.0,-306.0,10.0,25.0,59.0,12.0,71.0,71,83.1,1.84,72.81,10.29,1470.9,1.0,1.0,0.0,4,ONE,OK,6,41,35,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']",32.0,3.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']",FULL,
FULL_k4_RR,12.0,-306.0,-306.0,10.0,25.0,59.0,12.0,73.0,73,83.56,1.85,73.27,10.29,1503.4,1.0,3.0,0.0,4,RR,OK,7,41,35,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']",32.0,3.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']",FULL,
FULL_k5_ONE,1.0,-108.0,-92.2,1.0,12.0,16.0,1.0,17.0,17,94.12,10.7,59.93,34.19,1047.3,1.0,1.0,0.0,5,ONE,OK,8,17,16,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']",0.0,0.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']",FULL,
FULL_k5_RR,1.0,-108.0,-92.2,1.0,12.0,16.0,1.0,17.0,17,94.12,10.7,59.93,34.19,1047.3,1.0,1.0,0.0,5,RR,OK,9,17,16,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']",0.0,0.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']",FULL,
FULL_k6_ONE,,,,,,,,,0,,,,,,,,,6,ONE,OK,10,0,0,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']",0.0,0.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']",FULL,
FULL_k6_RR,,,,,,,,,0,,,,,,,,,6,RR,OK,11,0,0,"['AT_Score_ST:lo', 'Slope_EMA_ST:lo', 'D2D_Signal:==1', 'D2D_Up_Count:hi', 'EMA_Oscillator:lo', 'AT_Slope_ST:lo']",0.0,0.0,"['AT_Score_LT:hi', 'D2D_Signal:==-1', 'VAL_Side:==0', 'D2D_Dn_Count:hi', 'EMA_Oscillator:hi', 'D2D_Dynamic_Sensitivity:lo']",FULL,
