trigger,direction,signal_def,source
F0,LONG,KAMA_Dist:hi + Volume:hi + D2D_Signal:==1,DECORR
F0,LONG,Volume_Ratio_10:hi + Micro_AutoCorr:hi + TChan_A15:hi,DECORR
F0,LONG,OBV_Macd:lo + Micro_AutoCorr:hi + Micro_VolOfVol:hi,DECORR
F0,LONG,Micro_AutoCorr:hi + PrevDay_High_Dist_ATR:lo + AT_Regime_ST:==1,DECORR
F0,LONG,PrevDay_High_Dist_ATR:lo + RangeOsc_State:==-2 + WeeklyOpen_Side:==-1,DECORR
F0,LONG,AT_Slope_LT:lo + Slope_EMA_ST:lo + Micro_FailedBreak:hi,DECORR
F0,LONG,Slope_EMA_ST:lo + Micro_Rejection:lo + ADX_Rising:==0,DECORR
F0,LONG,OR_Position:lo + D2D_DirStep:==-1 + VWAP_Side:==1,DECORR
F0,LONG,VAL_Dist_ATR:lo + OR_Position:hi + OR_High_Side:==-1,DECORR
F0,LONG,AT_Slope_ST:lo + Efficiency_Ratio:hi + ADX_Rising:==0,DECORR
F0,LONG,AT_Slope_ST:lo + EMA_Oscillator:lo + OR_Low_Side:==1,DECORR
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + VWAP_Sigma:hi,DECORR+PRICED
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + Micro_RangeVelocity:hi,DECORR
F0,LONG,Slope_EMA_ST:lo + Micro_FailedBreak:hi + VWAP_Sigma:hi,DECORR
F0,LONG,AT_Slope_ST:lo + Micro_FractalDim:lo + Lower_Wick:hi,DECORR
F0,LONG,Micro_Rejection:lo + VWAP_Sigma:lo + Volume:hi,DECORR
F0,LONG,ATR_1M:hi + Micro_VolOfVol:hi + PrevDay_Close_Dist_ATR:hi,DECORR
F0,LONG,Micro_MomoTransfer:lo + VWAP_Sigma:lo + Volume:hi,DECORR
F0,LONG,Micro_RangeVelocity:hi + Micro_TickIntensity:hi + ST_Flip_Event:==0,DECORR
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + Upper_Wick:hi,DECORR
F0,LONG,Micro_Entropy:lo + Micro_MomoTransfer:hi + Micro_RangeAccel:lo,DECORR
F0,LONG,Micro_Rejection:lo + Session_Low_Dist_ATR:lo + OR_Low_Side:==1,DECORR
F0,LONG,OBV_Macd:lo + Harmonic_LLEMA:hi + Micro_WickImbalance:lo,DECORR
F0,LONG,AT_Slope_ST:lo + Micro_HLAsymmetry:hi + VWAP_Dist_ATR:lo,DECORR
F0,LONG,AT_Slope_ST:lo + KAMA_Dist:hi + VWAP_Sigma_ATR:lo,DECORR
F0,LONG,Micro_OrderFlowDelta:hi + Micro_Rejection:lo + Lower_Wick:lo,DECORR
F0,LONG,AT_Slope_ST:lo + Momentum_Value:hi + D2D_Signal:==0,DECORR+PRICED
F0,LONG,PrevDay_High_Dist_ATR:lo + PrevDay_Low_Side:==-1 + OR_Low_Side:==1,DECORR
F0,LONG,Slope_EMA_ST:lo + Micro_RangeAccel:hi + Micro_Rejection:lo,DECORR+PRICED
F0,LONG,AT_Lookback_ST:hi + AT_Slope_ST:lo + Micro_RollProxy:hi,DECORR
F0,LONG,Bars_Since_Flip:hi + Lower_Wick:hi + PrevDay_Low_Side:==-1,DECORR
F0,LONG,Slope_EMA_ST:lo + Micro_HLAsymmetry:hi + Micro_Rejection:lo,DECORR
F0,LONG,Slope_EMA_ST:lo + Micro_RangeVelocity:hi + OR_Low_Side:==-1,DECORR
F0,LONG,AT_Slope_ST:lo + Micro_BarOverlap:lo + VWAP_Sigma:hi,DECORR+PRICED
F0,LONG,Micro_FractalDim:hi + Session_High_Dist_ATR:hi + Volume:hi,DECORR
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + Micro_RangeAccel:hi,DECORR+PRICED
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + Volume:hi,DECORR
F0,LONG,Volume_Avg_10:hi + Micro_FractalDim:hi + Session_High_Dist_ATR:hi,DECORR
F0,LONG,OBVf_DirStepCount:lo + PrevDay_Close_Side:==1 + OR_Low_Side:==-1,DECORR
F0,LONG,AT_Score_LT:lo + Micro_MicroGap:lo + OR_High_Side:==-1,DECORR
F0,LONG,AT_Score_LT:lo + Micro_MicroGap:lo + OR_Low_Side:==-1,DECORR
F0,LONG,D2D_ATR:hi + Micro_Rejection:lo + PrevDay_High_Dist_ATR:hi,DECORR
F0,LONG,Micro_IBSP:hi + DailyOpen_Side:==1 + OR_Low_Side:==-1,DECORR
F0,LONG,Slope_EMA_ST:lo + Micro_HLAsymmetry:hi + Micro_OrderFlowDelta:lo,DECORR
F0,LONG,Slope_Accel_ST:lo + Micro_ThrustEff:hi + OR_Low_Side:==-1,DECORR
F0,LONG,AT_Lookback_ST:hi + Slope_EMA_ST:hi + ADX_Value:lo,DECORR
F0,LONG,Momentum_Value:lo + Micro_VolOfVol:hi + Volume:hi,DECORR
F0,LONG,OBV_Macd:lo + Micro_Hurst:hi + VWAP_Dist_ATR:lo,DECORR
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + Micro_HLAsymmetry:hi,DECORR
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + D2D_DirStep:==1,DECORR
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + Micro_LogReturn:hi,DECORR
F0,LONG,AT_Slope_LT:lo + AT_Slope_ST:lo + Micro_HLAsymmetry:hi,DECORR
F0,LONG,AT_Slope_ST:lo + Momentum_Value:hi + Body_Size:hi,DECORR+PRICED
F0,LONG,AT_Slope_ST:lo + Momentum_Value:hi + Micro_RollProxy:hi,DECORR+PRICED
F0,LONG,Micro_RangeAccel:hi + PrevDay_High_Dist_ATR:lo + PrevDay_Low_Side:==-1,DECORR
F0,LONG,PrevDay_High_Dist_ATR:lo + ADX_Rising:==1 + PrevDay_Low_Side:==-1,DECORR
F0,LONG,Micro_Entropy:lo + ADX_Rising:==0 + OR_Low_Side:==-1,DECORR
F0,LONG,Slope_EMA_ST:lo + Momentum_Value:hi + Micro_RangeVelocity:hi,DECORR
F0,LONG,Bars_Since_Flip:hi + Round_500_Dist_ATR:lo + OR_Low_Side:==-1,DECORR
F0,LONG,PrevDay_High_Dist_ATR:lo + Sqz_State:==1 + PrevDay_Low_Side:==-1,DECORR
F0,LONG,AT_Slope_ST:lo + Micro_VolOfVol:hi + D2D_DirStep:==1,DECORR
F0,LONG,Micro_FractalDim:lo + Session_Low_Dist_ATR:lo + TChan_A15:hi,DECORR
